Facet;FacetValue;URL
10;"Poctivá výroba Globus";/cz/poctivá-výroba-globus
11;"Pekárna a cukrárna";/cz/pekárna-a-cukrárna
12;"Maso a ryby";/cz/maso-a-ryby
13;"Uzeniny a lahůdky";/cz/uzeniny-a-lahůdky
14;"Ovoce a zelenina";/cz/ovoce-a-zelenina
15;"Mléčné a chlazené";/cz/mléčné-a-chlazené
16;"Trvanlivé potraviny";/cz/trvanlivé-potraviny
2;"Mražené potraviny";/cz/mražené-potraviny
3;Nápoje;/cz/nápoje
4;"Zdravý svět";/cz/zdravý-svět
5;"Domácnost a zahrada";/cz/domácnost-a-zahrada
6;"Svět zvířat";/cz/svět-zvířat
7;"Drogerie a kosmetika";/cz/drogerie-a-kosmetika
8;"Svět dětí";/cz/svět-dětí
112;Auto-moto;/cz/auto-moto
107;Elektro;/cz/elektro
1293;Vánoce;/cz/vánoce
17;"Svět zvířat/Pro psy";/cz/svět-zvířat/pro-psy
18;"Svět zvířat/Pro kočky";/cz/svět-zvířat/pro-kočky
19;"Svět zvířat/Pro králíky a hlodavce";/cz/svět-zvířat/pro-králíky-a-hlodavce
20;"Svět zvířat/Pro rybičky";/cz/svět-zvířat/pro-rybičky
22;"Svět zvířat/Pro ptáky";/cz/svět-zvířat/pro-ptáky
23;"Pekárna a cukrárna/Slané pečivo";/cz/pekárna-a-cukrárna/slané-pečivo
24;"Pekárna a cukrárna/Chléb";/cz/pekárna-a-cukrárna/chléb
25;"Pekárna a cukrárna/Sladké pečivo";/cz/pekárna-a-cukrárna/sladké-pečivo
26;"Pekárna a cukrárna/Trvanlivé balené pečivo";/cz/pekárna-a-cukrárna/trvanlivé-balené-pečivo
27;"Pekárna a cukrárna/Předpečené pečivo a těsta";/cz/pekárna-a-cukrárna/předpečené-pečivo-a-těsta
28;"Pekárna a cukrárna/Dorty a zákusky";/cz/pekárna-a-cukrárna/dorty-a-zákusky
29;"Pekárna a cukrárna/Tortilly a pita";/cz/pekárna-a-cukrárna/tortilly-a-pita
30;"Pekárna a cukrárna/Racio a Knäckebrot";/cz/pekárna-a-cukrárna/racio-a-knäckebrot
31;"Pekárna a cukrárna/Pečicí směsi";/cz/pekárna-a-cukrárna/pečicí-směsi
32;"Pekárna a cukrárna/Strouhanka";/cz/pekárna-a-cukrárna/strouhanka
200;"Auto-moto/Autokosmetika a chemie";/cz/auto-moto/autokosmetika-a-chemie
206;Auto-moto/Autožárovky;/cz/auto-moto/autožárovky
202;"Auto-moto/Kapaliny do auta";/cz/auto-moto/kapaliny-do-auta
201;"Auto-moto/Vše pro kola";/cz/auto-moto/vše-pro-kola
203;"Auto-moto/Vůně a osvěžovače";/cz/auto-moto/vůně-a-osvěžovače
210;"Auto-moto/Kabely a nabíječky";/cz/auto-moto/kabely-a-nabíječky
