ArticleNumber;StoreId;Price;PseudoPrice;Stock;Sale;ShelfInfo;DiscountText;BasePrice
2001800034354;4007;5532;;0.0480000000;0;;;29900
2006800013927;4007;1490;;11.0000000000;0;;;
3038351665002;4007;4390;;121.0000000000;0;;;
3038351683808;4007;4390;;22.0000000000;0;;;
4001686505021;4007;1890;;61.0000000000;0;;;
4006067798269;4007;4490;;50.0000000000;0;;;
4006067867118;4007;6990;;74.0000000000;0;;;
4006874016167;4007;20900;;4.0000000000;0;;;
4006885177000;4007;8790;;2.0000000000;0;;;
4006885189409;4007;14990;;3.0000000000;0;;;
4006885202009;4007;6990;;4.0000000000;0;;;
4006885252004;4007;14990;;3.0000000000;0;;;
4006885289703;4007;5290;;14.0000000000;0;;;
4007249449306;4007;9990;;3.0000000000;0;;;
4009847066268;4007;6000;;8.0000000000;0;;;
40099118;4007;1190;;211.0000000000;0;;;
4014400400007;4007;4990;;920.0000000000;0;;;
4017100770005;4007;6490;;15.0000000000;0;;;
4035300012664;4007;2690;;7.0000000000;0;;;
4035300018680;4007;12990;;6.0000000000;0;;;
4035300019076;4007;14990;;3.0000000000;0;;;
4035300019212;4007;9990;;4.0000000000;0;;;
4035300019540;4007;9590;;9.0000000000;0;;;
4035300020348;4007;2190;;11.0000000000;0;;;
4048500855757;4007;12990;;6.0000000000;0;;;
4048500860089;4007;12990;;5.0000000000;0;;;
4056800114726;4007;7890;;12.0000000000;0;;;
4061445050360;4007;13990;;114.0000000000;0;;;
42165095;4007;1090;;248.0000000000;0;;;
5000329002230;4007;46900;;30.0000000000;0;;;
5010106111956;4007;55900;;7.0000000000;0;;;
5011026105223;4007;38900;;6.0000000000;0;;;
5020144506034;4007;18990;;4.0000000000;0;;;
5020144506089;4007;18990;;4.0000000000;0;;;
5020144506218;4007;20900;;3.0000000000;0;;;
5032227740044;4007;18990;;14.0000000000;0;;;
5411183005723;4007;12990;;9.0000000000;0;;;
5411183012813;4007;14990;;13.0000000000;0;;;
5709342441209;4007;5490;;89.0000000000;0;;;
5996379301556;4007;1890;;77.0000000000;0;;;
6900350002027;4007;1690;;37.0000000000;0;;;
722337819055;4007;6990;;27.0000000000;0;;;
8000920400487;4007;1990;;38.0000000000;0;;;
80177609;4007;1990;;130.0000000000;0;;;
8584017500200;4007;4690;;30.0000000000;0;;;
8588003970534;4007;5990;;23.0000000000;0;;;
8590005754784;4007;9190;;7.0000000000;0;;;
8590079004631;4007;6290;;97.0000000000;0;;;
8590132009009;4007;2490;;19.0000000000;0;;;
8590132015055;4007;1790;;41.0000000000;0;;;
8590132015406;4007;2850;;34.0000000000;0;;;
8590132015505;4007;1790;;95.0000000000;0;;;
8590132015628;4007;1990;;39.0000000000;0;;;
8590132015642;4007;1790;;3.0000000000;0;;;
85906488;4007;3990;;40.0000000000;0;;;
8590878030084;4007;10000;;5.0000000000;0;;;
8591107400029;4007;2990;;2.0000000000;0;;;
85911093;4007;3990;;34.0000000000;0;;;
85911109;4007;2590;;14.0000000000;0;;;
85926486;4007;1690;;45.0000000000;0;;;
8593540103369;4007;1290;;45.0000000000;0;;;
8593803662107;4007;1290;;133.0000000000;0;;;
8593807517304;4007;1190;;61.0000000000;0;;;
8593837224128;4007;3890;;12.0000000000;0;;;
8593837861125;4007;2990;;69.0000000000;0;;;
8593893110526;4007;2990;;70.0000000000;0;;;
8593893110564;4007;2990;;48.0000000000;0;;;
8594000940050;4007;14990;;79.0000000000;0;;;
8594000940210;4007;14990;;16.0000000000;0;;;
8594001021529;4007;1690;;870.0000000000;0;;;
8594001241514;4007;1690;;20.0000000000;0;;;
8594001241521;4007;1690;;57.0000000000;0;;;
8594001690473;4007;4490;;10.0000000000;0;;;
8594001691050;4007;5490;;16.0000000000;0;;;
8594001693207;4007;5390;;15.0000000000;0;;;
8594001693610;4007;5390;;8.0000000000;0;;;
8594001694587;4007;2990;;14.0000000000;0;;;
8594001695188;4007;3690;;71.0000000000;0;;;
8594001695362;4007;3290;;71.0000000000;0;;;
8594001770458;4007;2690;;12.0000000000;0;;;
8594002830090;4007;9990;;25.0000000000;0;;;
8594003191077;4007;7990;;16.0000000000;0;;;
8594003191107;4007;8500;;14.0000000000;0;;;
8594003191169;4007;7990;;10.0000000000;0;;;
8594003211003;4007;1590;;40.0000000000;0;;;
8594003844409;4007;14900;;34.0000000000;0;;;
8594003844478;4007;14900;;48.0000000000;0;;;
8594004173126;4007;1990;;15.0000000000;0;;;
8594004582034;4007;1000;;153.0000000000;0;;;
8594008351018;4007;1690;;62.0000000000;0;;;
8594009160466;4007;2690;;21.0000000000;0;;;
8594010330148;4007;1690;;171.0000000000;0;;;
8594740488003;4007;1990;;3.0000000000;0;;;
8594825008560;4007;8990;;30.0000000000;0;;;
8595005802602;4007;3990;;25.0000000000;0;;;
8595008729616;4007;2890;;144.0000000000;0;;;
8595012002156;4007;1450;;41.0000000000;0;;;
8595012002200;4007;1350;;29.0000000000;0;;;
8595012002408;4007;1550;;39.0000000000;0;;;
8595012002903;4007;1690;;19.0000000000;0;;;
8595012003559;4007;1690;;37.0000000000;0;;;
8595012004051;4007;1690;;32.0000000000;0;;;
8595012035109;4007;950;;46.0000000000;0;;;
8595012035208;4007;1650;;48.0000000000;0;;;
8595012035550;4007;1590;;35.0000000000;0;;;
8595013605653;4007;2290;;21.0000000000;0;;;
8595013608500;4007;2990;;17.0000000000;0;;;
8595020350065;4007;490;;297.0000000000;0;;;
8595053900794;4007;3490;;10.0000000000;0;;;
8595072600033;4007;990;;160.0000000000;0;;;
8595072600477;4007;490;;116.0000000000;0;;;
8595072600491;4007;490;;31.0000000000;0;;;
8595072600538;4007;490;;72.0000000000;0;;;
8595072601948;4007;4790;;9.0000000000;0;;;
8595072603300;4007;1290;;361.0000000000;0;;;
8711347000012;4007;19990;;7.0000000000;0;;;
8711347000050;4007;19990;;8.0000000000;0;;;
8711347000111;4007;19990;;8.0000000000;0;;;
8711347000166;4007;21900;;6.0000000000;0;;;
8711347000333;4007;24900;;1.0000000000;0;;;
8711347000340;4007;24900;;7.0000000000;0;;;
8711347000463;4007;19990;;9.0000000000;0;;;
8711347000517;4007;9990;;5.0000000000;0;;;
8711347000715;4007;19990;;8.0000000000;0;;;
8711347001293;4007;21900;;5.0000000000;0;;;
8711347001309;4007;29900;;7.0000000000;0;;;
8711347001569;4007;14990;;5.0000000000;0;;;
8711347001576;4007;19990;;8.0000000000;0;;;
8711347006588;4007;12990;;6.0000000000;0;;;
8711347040018;4007;22900;;4.0000000000;0;;;
8711347040032;4007;21900;;3.0000000000;0;;;
8711347040049;4007;22900;;4.0000000000;0;;;
8711347040056;4007;22900;;4.0000000000;0;;;
8711347040094;4007;22900;;4.0000000000;0;;;
8711347040100;4007;21900;;4.0000000000;0;;;
8711347040308;4007;24900;;4.0000000000;0;;;
8711347040315;4007;24900;;4.0000000000;0;;;
8711347040322;4007;24900;;3.0000000000;0;;;
8711347040537;4007;19990;;4.0000000000;0;;;
8711347040544;4007;21900;;4.0000000000;0;;;
8711347040551;4007;21900;;4.0000000000;0;;;
8711347040568;4007;19990;;4.0000000000;0;;;
8711347040605;4007;25900;;4.0000000000;0;;;
8711347040629;4007;32900;;4.0000000000;0;;;
8711347040643;4007;32900;;4.0000000000;0;;;
8711347040667;4007;27900;;4.0000000000;0;;;
8711347040971;4007;24900;;4.0000000000;0;;;
8711347040988;4007;24900;;4.0000000000;0;;;
8711347091386;4007;12990;;4.0000000000;0;;;
8711347091393;4007;12990;;6.0000000000;0;;;
8711347091416;4007;12990;;4.0000000000;0;;;
8711800137873;4007;11490;;19.0000000000;0;;;
8715743006432;4007;19990;;3.0000000000;0;;;
8715743006449;4007;39900;;4.0000000000;0;;;
8715743006463;4007;19990;;4.0000000000;0;;;
8715743006470;4007;39900;;4.0000000000;0;;;
8715743006500;4007;39900;;4.0000000000;0;;;
8715743006555;4007;19990;;4.0000000000;0;;;
8715743006562;4007;39900;;4.0000000000;0;;;
8715743006586;4007;19990;;4.0000000000;0;;;
8715743006678;4007;19990;;4.0000000000;0;;;
8715743006708;4007;19990;;4.0000000000;0;;;
8715743006715;4007;39900;;4.0000000000;0;;;
8715743006760;4007;19990;;4.0000000000;0;;;
8715743006777;4007;39900;;4.0000000000;0;;;
8715743006791;4007;19990;;4.0000000000;0;;;
8715743006807;4007;39900;;4.0000000000;0;;;
8715743006821;4007;19990;;4.0000000000;0;;;
8715743006852;4007;19990;;4.0000000000;0;;;
8715743006869;4007;39900;;4.0000000000;0;;;
8715743007026;4007;19990;;4.0000000000;0;;;
8715743007033;4007;39900;;4.0000000000;0;;;
8715743007323;4007;39900;;6.0000000000;0;;;
8715743007354;4007;39900;;3.0000000000;0;;;
8715743007446;4007;39900;;7.0000000000;0;;;
9001378720201;4007;1890;;8.0000000000;0;;;
9003579302545;4007;3790;;186.0000000000;0;;;
9003579302552;4007;3790;;37.0000000000;0;;;
9006900014292;4007;6990;;39.0000000000;0;;;
