key,translation,locale

cart.remove.items.success,Produkte wurden erfolgreich aus der Einkaufsliste entfernt.,de_DE
cart.remove.items.success,Products were removed successfully,en_US
cart.add.items.error.text,Something went wrong. Sorry.,en_US
cart.add.items.error.text,Leider ging etwas schief. Tut uns leid.,de_DE
cart.add.items.success,Produkte erfolgreich der Einkaufsliste hinzugefügt.,de_DE
cart.add.items.success,Items added successfully,en_US
cart.your-order,Deine Wunscheinkauf,de_DE
cart.your-order,Your Order,en_US
cart.product-option,Produktoptionen,de_DE
cart.product-option,Product Options,en_US
cart.price,Preis,de_DE
cart.price,Price,en_US
cart.shipping.order-item,+ Versand,de_DE
cart.shipping.order-item,+ Shipping,en_US
cart.shipping,Service,de_DE
cart.shipping,Shipping,en_US
cart.total,Gesamt,de_DE
cart.total,Total,en_US
cart.checkout,Zur Kasse,de_DE
cart.checkout,Checkout,en_US
cart.empty,Ihr Warenkorb ist zurzeit leer.,de_DE
cart.empty,Your shopping cart is empty!,en_US
cart.cart,Warenkorb,de_DE
cart.cart,Cart,en_US
cart.total.discount,Rabatt,de_DE
cart.total.discount,Discount,en_US
cart.vouchers,Gutscheine,de_DE
cart.vouchers,Vouchers,en_US
cart.discounts,Rabatte,de_DE
cart.discounts,Discounts,en_US
cart.sales-order-threshold,Mindestbetrag,de_DE
cart.sales-order-threshold,Minimum Order Value,en_US
checkout.sales-order-threshold,Mindestbetrag,de_DE
checkout.sales-order-threshold,Minimum Order Value,en_US
cart.checkout.address.abholstation.note.up,Ich hole meine Bestellung an der Abholstation am gewählten Standort ab,de_DE
cart.checkout.address.abholstation.note.down,Nachricht an die Abholstation,de_DE
cart.checkout.address.abholstation.textarea.note,Kein Interesse an Ersatzprodukten? Was auch immer bei Ihrem aktuellen Einkauf wichtig ist. Sagen Sie es uns einfach.,de_DE
sales-order-threshold.expense.name,Zuschlag,de_DE
sales-order-threshold.expense.name,Surcharge,en_US
cart.item_quantity,Anzahl,de_DE
cart.item_quantity,Quantity,en_US
cart.item_attributes_needed,Please select more attributes,en_US
cart.item_attributes_needed,Bitte mindestens ein anderes Attribut auswählen,de_DE
cart.voucher.redeem,Code einlösen,de_DE
cart.voucher.redeem,Redeem code,en_US
cart.price.subtotal,Zwischensumme,de_DE
cart.price.subtotal,Subtotal,en_US
cart.price.deposit,Pfand,de_DE
cart.price.deposit,Deposit,en_US
cart.price.grand.total,Gesamtsumme,de_DE
cart.price.grand.total,Grand Total,en_US
cart.total.tax_total,Mehrwertsteuer,de_DE
cart.total.tax_total,Tax,en_US
sales-order-threshold.hard-minimum-threshold.de.eur.message,"From a total amount of {{threshold}} (minus deposit) you can submit your desired order.",en_US
sales-order-threshold.hard-minimum-threshold.de.eur.message,"Ab einem Gesamtbetrag von {{threshold}} (abzüglich Pfand) kannst du deinen Wunscheinkauf übermitteln.",de_DE
sales-order-threshold.hard-maximum-threshold.de.eur.message,"Please remove products from your cart in order not to exceed the maximum amount of {{threshold}} (minus deposit).",en_US
sales-order-threshold.hard-maximum-threshold.de.eur.message,"Bitte entferne Produkte aus deiner Einkaufsliste, um den Maximalbetrag von {{threshold}} (abzüglich Pfand) nicht zu überschreiten.",de_DE
sales-order-threshold.hard-minimum-threshold.de.chf.message,"You should add goods of {{threshold}} value to the cart to reach the recommended threshold. You will not be able to continue with the desired order.",en_US
sales-order-threshold.hard-minimum-threshold.de.chf.message,"Sie sollen Waren im Wert von {{threshold}} dem Einkaufsliste hinzufügen, um die empfohlene Schwelle zu erreichen. Sie können nicht mit der Wunscheinkauf fortfahren.",de_DE
sales-order-threshold.soft-minimum-threshold.de.eur.message,"You need to add items for {{threshold}} to pass a recommended threshold, but if you want can proceed to checkout.",en_US
