shipment_method_key,store
click_and_collect,EIN
lieferung,EIN
click_and_collect,ISS
lieferung,ISS
click_and_collect,RUE
lieferung,RUE
click_and_collect,KMD
lieferung,KMD
click_and_collect,LPZ
lieferung,LPZ
click_and_collect,HAD
lieferung,HAD
click_and_collect,WIE
lieferung,WIE
click_and_collect,WND
lieferung,WND
click_and_collect,KRE
lieferung,KRE
click_and_collect,GEN
lieferung,GEN
click_and_collect,ESS
lieferung,ESS
click_and_collect,GUE
lieferung,GUE
click_and_collect,BSG
lieferung,BSG
click_and_collect,ESB
lieferung,ESB
click_and_collect,WLZ
lieferung,WLZ
