shipment_method_key,currency,value_net,value_gross,store
click_and_collect,EUR,299,299,EIN
click_and_collect,CZK,3900,3900,EIN
lieferung,EUR,200,200,EIN
click_and_collect,EUR,299,299,KMD
click_and_collect,CZK,3900,3900,KMD
lieferung,EUR,200,200,KMD
click_and_collect,EUR,299,299,ISS
click_and_collect,CZK,3900,3900,ISS
lieferung,EUR,200,200,ISS
click_and_collect,EUR,299,299,RUE
click_and_collect,CZK,3900,3900,RUE
lieferung,EUR,200,200,RUE
click_and_collect,EUR,299,299,LPZ
click_and_collect,CZK,3900,3900,LPZ
lieferung,EUR,200,200,LPZ
click_and_collect,EUR,299,299,HAD
click_and_collect,CZK,3900,3900,HAD
lieferung,EUR,200,200,HAD
click_and_collect,EUR,299,299,WIE
click_and_collect,CZK,3900,3900,WIE
lieferung,EUR,200,200,WIE
click_and_collect,EUR,299,299,WND
click_and_collect,CZK,3900,3900,WND
lieferung,EUR,200,200,WND
click_and_collect,EUR,299,299,KRE
click_and_collect,CZK,3900,3900,KRE
lieferung,EUR,200,200,KRE
click_and_collect,EUR,299,299,GEN
click_and_collect,CZK,3900,3900,GEN
lieferung,EUR,200,200,GEN
click_and_collect,EUR,299,299,ESS
click_and_collect,CZK,3900,3900,ESS
lieferung,EUR,200,200,ESS
click_and_collect,EUR,299,299,GUE
click_and_collect,CZK,3900,3900,GUE
lieferung,EUR,200,200,GUE
click_and_collect,EUR,299,299,BSG
click_and_collect,CZK,3900,3900,BSG
lieferung,EUR,200,200,BSG
click_and_collect,EUR,299,299,ESB
click_and_collect,CZK,3900,3900,ESB
lieferung,EUR,200,200,ESB
click_and_collect,EUR,299,299,WLZ
click_and_collect,CZK,3900,3900,WLZ
lieferung,EUR,200,200,WLZ
