ordernumber|sapnumber|sap_unit|name|description_long|supplier|tax|ballaststoffe|fettefettungsaeurenp100gml|eiweissp100gml|energiekcalp100gml|energiekjp100gml|fettp100gml|fettefettgsaeurenp100gml|kohlhyalkp100gml|kohlstrp100gml|kohlzkrp100gml|kohlp100gml|fettefettmgsaeurenp100gml|salz100gml|alkgeh|mainimage_filename|entallerg|mentallerg|zutaten|bio|vegan|vegetarisch|laktosefrei|glutenfrei|fairtrade|pfandpflicht|pfandbetrag|artikeltyp|fsk|inverkehrbringer|grundpreispflicht|grundpreisinhalt|grundpreismasseinheit|grundeinheit|verpackungseinheit|groupid|active|bontext|sapwgr|herkunftsland|pfand_1_sapnumber|pfand_1_plu|pfand_1_count|pfand_1_amount|pfand_2_sapnumber|pfand_2_plu|pfand_2_count|pfand_2_amount|handelsklasse|einzelgewicht|herkunftsland_o_g|nonfoodingredients|warnhinweise|verwendungshinweise|temperaturecondition|pickzone|orderlimit|pet_feeding_table|SAP-WGR|Zusatzkategorie|Altersempfehlung|NOS Artikel|Classification_ID
287001|287001|ST|Wiener Würstchen|Inhalt: 7 Stück in Verpackung, Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287001.jpg|||Zutaten: 74% Rind- und Schweinefleisch, Trinkwasser, Speck, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), GEWÜRZE (enthält SENF), Glucosesirup, Dextrose, LACTOSE, Geschmacksverstärker: E62, Stabilisator: E450; Antioxidationsmittel: E300, Würze, Schafsaitling, natürliche Aromen, Buchenholzrauch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,55|||||||50|||1011|||cls_de_cc_310200
287002|287002|ST|Bockwurst|Inhalt: 3 Stück in Verpackung, Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287002.jpg|||Zutaten: 74% Rindfleisch und Schweinefleisch, Trinkwasser, Speck, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff E250), GEWÜRZE (enthält SENF), Glucosesirup, Dextrose, LACTOSE, Geschmacksverstärker: E621; Stabilisator: E450; Antioxidationsmittel: E300; Würze, Schweinedarm, natürliche Aromen, Buchenholzrauch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,35|||||||50|||1011|||cls_de_cc_310200
287007|287007|ST|Rostbratwurst gebrüht|Inhalt: 5 Stück in Verpackung, Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287007.jpg|||Zutaten: 78% Rind- und Schweinefleisch, Trinkwasser, Speck, iodiertes Speisesalz (Kochsalz, Kaliumiodat), Gewürze (enthält SENF), Glucosesirup, Dextrose, LACTOSE, Geschmacksverstärker Mononatriumglutamat E 621, Stabilisator Natriumdiphosphat E 450, Säuerungsmittel Citronensäure E 330, Antioxidationsmittel Ascorbinsäure E 300,  Schweinedarm, Aromen|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,6|||||||50|||1011|||cls_de_cc_310200
287008|287008|ST|Fleischkäse gebrüht|Portioniert zu je ca. 250 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287008.jpg|||Zutaten: 78% Rindfleisch- und Schweinefleisch, Trinkwasser, Speck, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), GEWÜRZE (u.a. SENF), Röstzwiebeln, Rapsöl, Glucosesirup, LACTOSE, Dextrose, Stabilisator Natriumdiphosphat E 450, Antioxidationsmittel Ascorbinsäure E 300, WEIZENMEHL, Würze, Aromen|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,25|||||||50|||1011|||cls_de_cc_320300
2870081042|2870081042|ST|Fleischkäse gebrüht|Portioniert zu je ca. 300 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287008.jpg|||Zutaten: 78% Rindfleisch- und Schweinefleisch, Trinkwasser, Speck, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), GEWÜRZE (u.a. SENF), Röstzwiebeln, Rapsöl, Glucosesirup, LACTOSE, Dextrose, Stabilisator Natriumdiphosphat E 450, Antioxidationsmittel Ascorbinsäure E 300, WEIZENMEHL, Würze, Aromen|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,3|||||||50|||1011|||cls_de_cc_320300
287010|287010|ST|Wiener im Eiweißdarm|Inhalt: 10 Stück in Verpackung, Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287010.jpg|||Zutaten: 74% Rind- und Schweinefleisch, Trinkwasser, Speck, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), Gewürze, Glucosesirup, LACTOSE, Dextrose, Geschmacksverstärker Mononatriumglutamat E 621, Stabilisator Natriumdiphosphat E 450, Antioxidationsmittel Ascorbinsäure E 300, Würze, Eiweißdarm, Aromen, Rauch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,75|||||||50|||1011|||cls_de_cc_310200
287013|287013|ST|Fleischkäse roh|Portioniert zu je ca. 1 kg in Aluschale. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287013.jpg|||Zutaten: 74% Rind- und Schweinefleisch, Trinkwasser, Speck, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), GEWÜRZE (u.a. SENF), Röstzwiebeln, Rapsöl, Glucosesirup, LACTOSE, Dextrose , Stabilisator Natriumdiphosphat E 450, Antioxidationsmittel Ascorbinsäure E 300,  WEIZENMEHL, Würze, Aromen|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||1|||||||50|||1011|||cls_de_cc_310200
287014|287014|ST|Jagdwurst|Portioniert zu je ca. 330 g am Stück. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287014.jpg|||Zutaten: 81% Rindfleisch und Schweinefleisch, Trinkwasser, Speck, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), GEWÜRZE (enthält SENF), Glucosesirup, Dextrose, LACTOSE, Geschmacksverstärker: E621; Stabilisator: E450; Antioxidationsmittel: E300; Würze, natürliche Aromen|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,33|||||||50|||1011|||cls_de_cc_310200
287015|287015|ST|Bierschinken|Portioniert zu je ca. 330 g am Stück. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287015.jpg|||Zutaten: Rindfleisch, Schweinefleisch, Trinkwasser, Speck, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), SENFKÖRNER, Gewürze, Glucosesirup, Dextrose, LACTOSE , Geschmacksverstärker Mononatriumglutamat E 621, Stabilisator Natriumdiphosphat E 450, Antioxidationsmittel Ascorbinsäure E 300, Würze, Aromen|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,33|||||||50|||1011|||cls_de_cc_310200
287016|287016|ST|Kalbfleischleberwurst|Portioniert zu je ca. 250 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287016.jpg|||Zutaten: Schweinefleisch, 25% Kalbfleisch, 12% Schweineleber, Speck, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), Gewürze, Gewürzextrakt, Zwiebeln, SCHLAGSAHNE, Zucker, Dextrose, Geschmacksverstärker: E621; Emulgatoren: E472b, E472c; Verdickungsmittel: E407; Antioxidationsmittel: E300; WEIZENMEHL, Schweinedarm, Pflanzenöl (Palm), Aromen, Buchenholzrauch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,25|||||||50|||1011|||cls_de_cc_310200
