categoryIdStibo|parentIdCategoryStibo|name|metatitle|metadescription
cls_pim_de_cus_class|Classification 1 root|DE - Kunden Produkt Hierarchie||
cls_de_cc_100000|cls_pim_de_cus_class|Obst & Gemüse|"Obst & Gemüse bei Globus | Entdecken Sie unser Sortiment!"|Bei uns finden Sie sowohl regionale wie auch exotische Produkte garantiert frisch und zu den besten Preisen – Schauen Sie mal wieder bei Globus vorbei!
cls_de_cc_110000|cls_de_cc_100000|Frisches Gemüse|"Frisches Gemüse bei Globus | Schauen Sie vorbei!"|Frisches Gemüse ⮞ Breite Auswahl in der Kategorie Obst & Gemüse ✓ Beste Preise ✓ Frische die man schmeckt ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_110100|cls_de_cc_110000|Avocados|"Avocados bei Globus | Jetzt Frische erleben!"|Avocados ⮞ Breite Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Garantierte Frische ✓ Alles und mehr bei Globus!
cls_de_cc_110200|cls_de_cc_110000|Erbsen & Bohnen|"Erbsen & Bohnen bei Globus | Entdecken & genießen!"|Erbsen & Bohnen ⮞ Interessante Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_110300|cls_de_cc_110000|Frischer Salat|"Frischer Salat bei Globus | Jetzt Frische erleben!"|Frischer Salat ⮞ Umfangreiche Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_110400|cls_de_cc_110000|Gurken|"Gurken bei Globus | Alle Produkte ansehen"|Gurken ⮞ Umfangreiche Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Qualität die man schmeckt ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_110500|cls_de_cc_110000|Hülsenfrüchte|"Hülsenfrüchte bei Globus | Entdecken & genießen!"|Hülsenfrüchte ⮞ Breite Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Garantierte Frische ✓ Alles und mehr bei Globus!
cls_de_cc_110600|cls_de_cc_110000|Kartoffeln|"Kartoffeln bei Globus | Suchen und Finden"|Kartoffeln ⮞ Breite Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Garantierte Frische ✓ Jetzt Globus erleben!
cls_de_cc_110700|cls_de_cc_110000|Kohlgemüse|"Kohlgemüse bei Globus | Mehr erfahren"|Kohlgemüse ⮞ Umfangreiche Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt zu Globus!
cls_de_cc_110800|cls_de_cc_110000|Mais|"Mais bei Globus | Alle Angebote zeigen"|Mais ⮞ Riesige Auswahl in der Kategorie Frisches Gemüse ✓ Beste Preise ✓ Frische die man schmeckt ✓ Alles und mehr bei Globus!
cls_de_cc_110900|cls_de_cc_110000|Paprika & Chili|"Paprika & Chili bei Globus | Schauen Sie vorbei!"|Paprika & Chili ⮞ Breite Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Alles und mehr bei Globus!
cls_de_cc_111000|cls_de_cc_110000|Pilze|"Pilze bei Globus | Klicken & entdecken!"|Pilze ⮞ Interessante Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_111100|cls_de_cc_110000|Porree & Lauch|"Porree & Lauch bei Globus | Jetzt Frische erleben!"|Porree & Lauch ⮞ Große Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt zu Globus!
cls_de_cc_111200|cls_de_cc_110000|Rhabarber|"Rhabarber bei Globus | Suchen und Finden"|Rhabarber ⮞ Interessante Auswahl in der Kategorie Frisches Gemüse ✓ Beste Preise ✓ Frische die man schmeckt ✓ Jetzt Globus erleben!
cls_de_cc_111300|cls_de_cc_110000|Spargel|"Spargel bei Globus | Entdecken & genießen!"|Spargel ⮞ Umfangreiche Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Garantierte Frische ✓ Jetzt zu Globus!
cls_de_cc_111400|cls_de_cc_110000|Suppengrün|"Suppengrün bei Globus | Alle Angebote zeigen"|Suppengrün ⮞ Große Auswahl in der Kategorie Frisches Gemüse ✓ Beste Preise ✓ Frische die man schmeckt ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_111500|cls_de_cc_110000|Tomaten|"Tomaten bei Globus | Jetzt Frische erleben!"|Tomaten ⮞ Große Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_111600|cls_de_cc_110000|Wurzelgemüse|"Wurzelgemüse bei Globus | Mehr erfahren"|Wurzelgemüse ⮞ Interessante Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Qualität die man schmeckt ✓ Jetzt Globus erleben!
cls_de_cc_111700|cls_de_cc_110000|Zucchini, Auberginen & Kürbisse|"Zucchini, Auberginen & Kürbisse bei Globus | Mehr erfahren"|Zucchini, Auberginen & Kürbisse ⮞ Große Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt Globus erleben!
cls_de_cc_111800|cls_de_cc_110000|Zwiebeln & Knoblauch|"Zwiebeln & Knoblauch bei Globus | Schauen Sie vorbei!"|Zwiebeln & Knoblauch ⮞ Viel Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt Globus erleben!
cls_de_cc_111900|cls_de_cc_110000|Feingemüse|"Feingemüse bei Globus | Klicken & entdecken!"|Feingemüse ⮞ Breite Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Qualität die man schmeckt ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_112000|cls_de_cc_110000|Grobgemüse|"Grobgemüse bei Globus | Alle Angebote zeigen"|Grobgemüse ⮞ Breite Auswahl in der Kategorie Frisches Gemüse ✓ Viele regionale Produkte ✓ Garantierte Frische ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_120000|cls_de_cc_100000|Frisches Obst|"Frisches Obst bei Globus | Mehr erfahren"|Frisches Obst ⮞ Breite Auswahl in der Kategorie Obst & Gemüse ✓ Viele regionale Produkte ✓ Garantierte Frische ✓ Jetzt auf die Globus-Einkaufsliste setzen!
cls_de_cc_120100|cls_de_cc_120000|Ananas|"Ananas bei Globus | Zu unserem Frische-Sortiment"|Ananas ⮞ Große Auswahl in der Kategorie Frisches Obst ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt auf die Globus-Einkaufsliste setzen!
cls_de_cc_120200|cls_de_cc_120000|Äpfel|"Äpfel bei Globus | Jetzt ansehen"|Äpfel ⮞ Breite Auswahl in der Kategorie Frisches Obst ✓ Beste Preise ✓ Frische die man schmeckt ✓ Alles und mehr bei Globus!
cls_de_cc_120300|cls_de_cc_120000|Bananen|"Bananen bei Globus | Alle Angebote zeigen"|Bananen ⮞ Große Auswahl in der Kategorie Frisches Obst ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt zu Globus!
cls_de_cc_120400|cls_de_cc_120000|Beeren|"Beeren bei Globus | Jetzt Frische erleben!"|Beeren ⮞ Riesige Auswahl in der Kategorie Frisches Obst ✓ Beste Preise ✓ Qualität die man schmeckt ✓ Jetzt Globus erleben!
cls_de_cc_120500|cls_de_cc_120000|Birnen|"Birnen bei Globus | Jetzt ansehen"|Birnen ⮞ Riesige Auswahl in der Kategorie Frisches Obst ✓ Viele regionale Produkte ✓ Garantierte Frische ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_120600|cls_de_cc_120000|Exotisches Obst|"Exotisches Obst bei Globus | Entdecken & genießen!"|Exotisches Obst ⮞ Breite Auswahl in der Kategorie Frisches Obst ✓ Beste Preise ✓ Garantierte Frische ✓ Alles und mehr bei Globus!
cls_de_cc_120700|cls_de_cc_120000|Kiwis|"Kiwis bei Globus | Schauen Sie vorbei!"|Kiwis ⮞ Riesige Auswahl in der Kategorie Frisches Obst ✓ Viele regionale Produkte ✓ Qualität die man schmeckt ✓ Jetzt zu Globus!
cls_de_cc_120800|cls_de_cc_120000|Melonen|"Melonen bei Globus | Alle Produkte ansehen"|Melonen ⮞ Viel Auswahl in der Kategorie Frisches Obst ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt auf die Globus-Einkaufsliste setzen!
cls_de_cc_120900|cls_de_cc_120000|Steinobst|"Steinobst bei Globus | Jetzt ansehen"|Steinobst ⮞ Große Auswahl in der Kategorie Frisches Obst ✓ Viele regionale Produkte ✓ Qualität die man schmeckt ✓ Jetzt zu Globus!
cls_de_cc_121000|cls_de_cc_120000|Trauben|"Trauben bei Globus | Alle Produkte ansehen"|Trauben ⮞ Breite Auswahl in der Kategorie Frisches Obst ✓ Beste Preise ✓ Garantierte Frische ✓ Jetzt auf die Globus-Einkaufsliste setzen!
cls_de_cc_121100|cls_de_cc_120000|Verzehrfertiges Obst|"Verzehrfertiges Obst bei Globus | Jetzt Frische erleben!"|Verzehrfertiges Obst ⮞ Breite Auswahl in der Kategorie Frisches Obst ✓ Beste Preise ✓ Frische die man schmeckt ✓ Jetzt Globus erleben!
cls_de_cc_121200|cls_de_cc_120000|Zitrusfrüchte|"Zitrusfrüchte bei Globus | Alle Angebote zeigen"|Zitrusfrüchte ⮞ Große Auswahl in der Kategorie Frisches Obst ✓ Viele regionale Produkte ✓ Qualität die man schmeckt ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_130000|cls_de_cc_100000|Trockenobst & Kerne|"Trockenobst & Kerne bei Globus | Jetzt ansehen"|Trockenobst & Kerne ⮞ Große Auswahl in der Kategorie Obst & Gemüse ✓ Beste Preise ✓ Frische die man schmeckt ✓ Jetzt auf die Globus-Einkaufsliste setzen!
cls_de_cc_130100|cls_de_cc_130000|Kerne & Samen|"Kerne & Samen bei Globus | Jetzt Frische erleben!"|Kerne & Samen ⮞ Breite Auswahl in der Kategorie Trockenobst & Kerne ✓ Viele regionale Produkte ✓ Qualität die man schmeckt ✓ Jetzt auf die Globus-Einkaufsliste setzen!
cls_de_cc_130200|cls_de_cc_130000|Trockenobst|"Trockenobst bei Globus | Zu unserem Frische-Sortiment"|Trockenobst ⮞ Große Auswahl in der Kategorie Trockenobst & Kerne ✓ Viele regionale Produkte ✓ Garantierte Frische ✓ Alles und mehr bei Globus!
cls_de_cc_140000|cls_de_cc_100000|Frische Gewürze & Kräuter|"Frische Gewürze & Kräuter bei Globus | Mehr erfahren"|Frische Gewürze & Kräuter ⮞ Breite Auswahl in der Kategorie Obst & Gemüse ✓ Viele regionale Produkte ✓ Qualität die man schmeckt ✓ Jetzt zu Globus!
cls_de_cc_150000|cls_de_cc_100000|Essbare Blüten|"Essbare Blüten bei Globus | Alle Produkte ansehen"|Essbare Blüten ⮞ Umfangreiche Auswahl in der Kategorie Obst & Gemüse ✓ Viele regionale Produkte ✓ Frische die man schmeckt ✓ Jetzt zu Globus!
cls_de_cc_200000|cls_pim_de_cus_class|Frische Produkte|"Frische Produkte bei Globus | Jetzt Frische erleben!"|Wir bei Globus garantieren Frische: Unsere Produkte sind mindestens 6 Tage haltbar oder werden andernfalls an soziale Einrichtungen wie die Tafel gespendet!
cls_de_cc_210000|cls_de_cc_200000|Käse & Käseersatz|"Käse & Käseersatz bei Globus | Klicken & entdecken!"|Käse & Käseersatz ⮞ Interessante Auswahl in der Kategorie Frische Produkte ✓ Alles was das Herz begehrt ✓ Frische die man schmeckt ✓ Alles und mehr bei Globus!
cls_de_cc_210100|cls_de_cc_210000|Kühlregal|"Kühlregal bei Globus | Alle Produkte ansehen"|Kühlregal ⮞ Große Auswahl in der Kategorie Käse & Käseersatz ✓ Alles was das Herz begehrt ✓ Garantierte Frische ✓ Jetzt auf die Globus-Einkaufsliste setzen!
cls_de_cc_210200|cls_de_cc_210000|Käsetheke|"Käsetheke bei Globus | Suchen und Finden"|Käsetheke ⮞ Große Auswahl in der Kategorie Käse & Käseersatz ✓ Alles was das Herz begehrt ✓ Frische die man schmeckt ✓ Alles und mehr bei Globus!
cls_de_cc_220000|cls_de_cc_200000|Milch & Milchprodukte|"Milch & Milchprodukte bei Globus | Schauen Sie vorbei!"|Milch & Milchprodukte ⮞ Umfangreiche Auswahl in der Kategorie Frische Produkte ✓ Alles was das Herz begehrt ✓ Qualität die man schmeckt ✓ Jetzt zu Globus!
cls_de_cc_220100|cls_de_cc_220000|H-Milch|"H-Milch bei Globus | Suchen und Finden"|H-Milch ⮞ Breite Auswahl in der Kategorie Milch & Milchprodukte ✓ Alles was das Herz begehrt ✓ Qualität die man schmeckt ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_220200|cls_de_cc_220000|Frischmilch|"Frischmilch bei Globus | Schauen Sie vorbei!"|Frischmilch ⮞ Große Auswahl in der Kategorie Milch & Milchprodukte ✓ Beste Preise ✓ Garantierte Frische ✓ Jetzt Globus erleben!
cls_de_cc_220300|cls_de_cc_220000|Milchgetränke|"Milchgetränke bei Globus | Jetzt ansehen"|Milchgetränke ⮞ Breite Auswahl in der Kategorie Milch & Milchprodukte ✓ Beste Preise ✓ Qualität die man schmeckt ✓ Jetzt zu Globus!
cls_de_cc_220400|cls_de_cc_220000|Sahne|"Sahne bei Globus | Klicken & entdecken!"|Sahne ⮞ Große Auswahl in der Kategorie Milch & Milchprodukte ✓ Beste Preise ✓ Qualität die man schmeckt ✓ Jetzt auf die Globus-Einkaufsliste setzen!
