Abbreviation;DivNo;Division Name;Street;Zipcode;Town;VAT ID;Fax number;Footer
BER;41;Spryker Systems GmbH Berlin;Julie-Wolfthorn-Straße 1;10115;BERLIN;DE123123123;023213133/2632366-0;Spryker Systems GmbH Berlin
BER;42;Spryker Systems GmbH Berlin;Berlin Hbf, Europaplatz 1;10557;BERLIN;DE123123123;023213133/2632366-0;Spryker Systems GmbH Berlin
BER;43;Spryker Systems GmbH Berlin;Berlin Hbf, Mall of Berlin, Leipziger Pl. 12;10117;BERLIN;DE123123123;023213133/2632366-0;Spryker Systems GmbH Berlin
BER;44;Spryker Systems GmbH Berlin;KaDeWe, Tauentzienstraße 21-24;10789;BERLIN;DE123123123;023213133/2632366-0;Spryker Systems GmbH Berlin
BER;45;Spryker Systems GmbH Berlin;Gesundbrunnen, Badstraße 1-3;13357;BERLIN;DE123123123;023213133/2632366-0;Spryker Systems GmbH Berlin
BER;46;Spryker Systems GmbH Berlin;Gendarmenmarkt, Gendarmenmarkt 5;10117;BERLIN;DE123123123;023213133/2632366-0;Spryker Systems GmbH Berlin
HAM;47;Spryker Systems GmbH Hamburg;Spitalerstraße 3;20095;HAMBURG;DE3123123;02133233/2632366-0;Spryker Systems GmbH Hamburg
HAM;48;Spryker Systems GmbH Hamburg;Hamburg Hbf, Hachmannplatz 16;20099;HAMBURG;DE3123123;02133233/2632366-0;Spryker Systems GmbH Hamburg
HAM;49;Spryker Systems GmbH Hamburg;Jungfernstieg, 16-20;20354;HAMBURG;DE3123123;02133233/2632366-0;Spryker Systems GmbH Hamburg
HAM;50;Spryker Systems GmbH Hamburg;Europa Passage, Ballindamm 40 EG2;20095;HAMBURG;DE3123123;02133233/2632366-0;Spryker Systems GmbH Hamburg
HAM;51;Spryker Systems GmbH Hamburg;Hafen City, Am Kaiserkai 62;20457;HAMBURG;DE3123123;02133233/2632366-0;Spryker Systems GmbH Hamburg
HAM;51;Spryker Systems GmbH Hamburg;Mundsburg, Hamburger Str. 1;22083;HAMBURG;DE3123123;02133233/2632366-0;Spryker Systems GmbH Hamburg
