Reihenfolge;ACG_Warengruppe;ACG_Unterwarengruppe
1;Kaffee/Kakao;Löslicher Kaffee
2;Kaffee/Kakao;Bohnenkaffee
3;Kaffee/Kakao;Kaffeehaltige Heißgetränke
4;Kaffee/Kakao;Pulvergetränke
5;Kaffee/Kakao;Kaffeekapseln
6;Kaffee/Kakao;Einzelportionen/Trinkfertig
7;Tee;Kräutertee
8;Tee;Schwarztee
9;Tee;Instanttee
10;Tee;Früchtetee
11;Tee;Grüner Tee
12;Tee;Gemischte Sorten
13;Konfitüren/Brotaufstriche;Fruchtaufstriche
14;Konfitüren/Brotaufstriche;Honig
15;Konfitüren/Brotaufstriche;Sirup/Garnierung
16;Konfitüren/Brotaufstriche;Nussaufstriche
17;Konfitüren/Brotaufstriche;Süße Aufstriche
18;Brot/Kuchen;Aufbackartikel
19;Brot/Kuchen;Frischbrot
20;Brot/Kuchen;Frische Feinbackwaren
21;Brot/Kuchen;Frische Kleinbackwaren
22;Brot/Kuchen;Haltbare Feinbackwaren
23;Brot/Kuchen;Haltbarer Kuchen
24;Brot/Kuchen;Haltbares Brot
25;Brot/Kuchen;Markenbrot
26;Brot/Kuchen;Brötchen/Semmeln
27;Brot/Kuchen;Alternativen zum Sandwich
28;Brot/Kuchen;Frischer Kuchen
29;Brot/Kuchen;Kleingebäck
30;Bake-Off;Weißbrot
31;Bake-Off;Schwarz-/Vollkornbrot
32;Bake-Off;Spezialbrot
33;Bake-Off;Pikante Snacks
34;Bake-Off;Feinbackwaren
35;Bake-Off;Brötchen/Semmeln
36;Cerealien/Snacks;Cerealien
37;Cerealien/Snacks;Warme Cerealien/Haferbrei
38;Cerealien/Snacks;Snack-/Energie-/Müsliriegel
39;Cerealien/Snacks;Gesunde Snacks
40;Wasser;Wasser
41;Wasser;Wasser, aromatisiert
42;CO2 Erfrischungsgetränke;Softdrinks/Fruchthaltige Erfrischungsgetränke
43;CO2 Erfrischungsgetränke;Tonics/Mixgetränke
44;Gebäck;Gebäck
45;Gebäck;Waffeln
46;Schokolade/Pralinen;Tafelschokolade
47;Schokolade/Pralinen;Schokoriegel
48;Schokolade/Pralinen;Pralinen
49;Schokolade/Pralinen;Süßwaren mit Schokolade
50;Bonbons/Kaugummi;Kaugummi
51;Bonbons/Kaugummi;Bonbons (mit Zucker/zuckerfrei)
52;Bonbons/Kaugummi;Kaubonbons
53;Bonbons/Kaugummi;Fruchtgummi
54;Bonbons/Kaugummi;Lutschbonbons
55;Nüsse/Trockenfrüchte;Nüsse
56;Nüsse/Trockenfrüchte;Trockenfrüchte
57;Chips/Snacks;Chips
58;Chips/Snacks;Snacks
59;Salzgebäck;Salzgebäck/Kräcker
60;Funktionsgetränke/Eistee;Sport-/Energy Drinks
61;Bier;Bier
62;Bier;Biergetränke
63;Bier;Cider
64;Spirituosen;Spirituosen
65;Spirituosen;Liköre/Bitter
66;Spirituosen;Mixgetränke
67;Sekt/Schaumwein;Sekt/Schaumwein
68;Wein;Rotwein
69;Wein;Weißwein
70;Wein;Roséwein
71;Wein;Likör-/Dessertwein
72;Wein;Weinhaltige Getränke/Weine, sortiert
73;Funktionsgetränke/Eistee;Eistee
74;Funktionsgetränke/Eistee;ACE
75;Fruchtsäfte/Sirupe;Fruchtsäfte (Säfte, Nektar)
76;Fruchtsäfte/Sirupe;Sirupe
77;Obst;Äpfel
78;Obst;Birnen
79;Obst;Steinobst
80;Obst;Beeren
81;Obst;Trauben
82;Obst;Zitrusfrüchte
83;Obst;Zitrusfrüche
84;Obst;Exotische Früchte
85;Obst;Bananen
86;Obst;Melonen
87;Obst;Mangos
88;Obst;Avocados
89;Obst;Loses Obst
90;Obst;Sonstiges Obst
91;Obst;Snacks/Obst, verzehrfertig
92;Gemüse;Gemüse (hart)
93;Gemüse;Paprika
94;Gemüse;Tomaten
95;Gemüse;Kohlgemüse
96;Gemüse;Wurzel-/Knollengemüse
97;Gemüse;Kartoffeln
98;Gemüse;Zwiebelgemüse
99;Gemüse;Pilze
100;Gemüse;Hülsenfrüchte
101;Gemüse;Kürbisse
102;Gemüse;Zucchini
103;Gemüse;Spargel
104;Gemüse;Frische Kräuter
105;Gemüse;Gewürze
106;Gemüse;Loses Gemüse
107;Gemüse;Sonstiges Gemüse
108;Gemüse;Snacks/Gemüse, verzehrfertig
109;Salate;Blattsalate
110;Salate;Sonstige Salate
111;Frischfleisch (ohne Schwein/Geflügel);Rind, frisch
112;Frischfleisch (ohne Schwein/Geflügel);Lamm, frisch
113;Frischfleisch (ohne Schwein/Geflügel);Frischfleisch-Spezialitäten
114;Frischfleisch (ohne Schwein/Geflügel);Hackfleisch, diverse
115;Frischfleisch (ohne Schwein/Geflügel);Wild, frisch
116;Schweinefleisch, frisch;Schwein, frisch
117;Schweinefleisch, frisch;Bratwurst, frisch
118;Schweinefleisch, frisch;Schinken, frisch
119;Schweinefleisch, frisch;Schweinefleisch-Spezialitäten, frisch
120;Schweinefleisch, frisch;Hackfleisch, Schwein
121;Geflügel, frisch;Hühnchen, frisch
122;Geflügel, frisch;Pute, frisch
123;Geflügel, frisch;Ente, frisch
124;Geflügel, frisch;Geflügelwaren-Spezialitäten, frisch
125;Geflügel, frisch;Hackfleisch, Geflügel
126;Fisch, frisch;Fisch
127;Fisch, frisch;Meeresfrüchte
128;Gekühlte Getränke;Säfte
129;Gekühlte Feinkost;Feinkost
130;Gekühlte Feinkost;Aufstriche/Dips/Dressings
131;Gekühlte Feinkost;Salat
132;Gekühlte Feinkost;Salat, verzehrfertig
133;Gekühlte Feinkost;Frucht-Snacks
134;Gekühlte Feinkost;Sandwiches/Snacks
135;Gekühlte Fertiggerichte;Fertiggerichte
136;Gekühlte Fertiggerichte;Pizza
137;Gekühlte Fertiggerichte;Kartoffelprodukte
138;Gekühlte Fertiggerichte;Teigwaren
139;Gekühlte Fertiggerichte;Backwaren
140;Gekühlter verzehrfertiger Fisch;Fisch/Meeresfrüchte
141;Gekühltes verzehrfertiges Fleisch/Fleischersatzprodukte;Verzehrfertiges Hähnchen
142;Gekühltes verzehrfertiges Fleisch/Fleischersatzprodukte;Verzehrfertiges Fleisch
143;Gekühltes verzehrfertiges Fleisch/Fleischersatzprodukte;Snack-Fleischwaren
144;Gekühltes verzehrfertiges Fleisch/Fleischersatzprodukte;Fleischersatzprodukte
145;Gekühlte Wurstwaren;Aspikware/Sülze
146;Gekühlte Wurstwaren;Bratwurst
147;Gekühlte Wurstwaren;Brühwurst
148;Gekühlte Wurstwaren;Kochwurst
149;Gekühlte Wurstwaren;Rohwurst
150;Gekühlte Wurstwaren;Würstchen
151;Gekühlte Wurstwaren;Schinken gekocht/gepökelt
152;Gekühlte Wurstwaren;Schinken roh/gepökelt/luftgetrocknet
153;Gekühlte Wurstwaren;Restliche Pökelware
154;Gekühlte Wurstwaren;Sonstige Wurst
155;Gekühlte Wurstwaren;Speck/Rohschinken
156;Gekühlte Wurstwaren;Fleisch geschnitten/Wurst geschnitten
157;Gekühlte Wurstwaren;Kochschinken
158;Gekühlte Wurstwaren;Wurstwaren fermentiert/gepökelt/geräuchert
159;Gekühlte Wurstwaren;Aufschnitt roh/gepökelt
160;Gekühlte Wurstwaren;Gegarter Aufschnitt
161;Gekühlte Wurstwaren;Pasteten
162;Gekühlte Wurstwaren;Sonstige Fleischwaren
163;Käse/Käseersatzprodukte;Hart-/Schnittkäse
164;Käse/Käseersatzprodukte;Weichkäse
165;Käse/Käseersatzprodukte;Frischkäse
166;Käse/Käseersatzprodukte;Schmelzkäse
167;Käse/Käseersatzprodukte;Käseerzeugnisse eigener Art
168;Käse/Käseersatzprodukte;Cheddar am Stück
169;Käse/Käseersatzprodukte;Käse gerieben/zerkleinert
170;Käse/Käseersatzprodukte;Ingredients (keine dt. Übersetzung)
171;Käse/Käseersatzprodukte;Käse geschnitten
172;Käse/Käseersatzprodukte;Käsesnacks
