Artikelnummer,Kategorie
4001,222
4002,222
4003,222
4004,222
4005,222
4006,222
4007,222
4008,222
4009,222
4010,222
4011,222
4012,222
703062,224
703062,224
701598,224
701598,224
10337,230
11013,221
001_25904006,500
002_25904004,500
003_26138343,500
004_30663302,500
005_30663301,500
006_30692993,500
007_30691822,500
008_30692992,500
009_30692991,500
010_30692994,500
011_30775359,500
012_25904598,500
013_25904584,500
014_25919241,500
015_25904009,500
016_21748907,500
017_21748906,500
018_21081477,500
019_21081473,500
020_21081478,500
021_21081475,500
022_21994751,500
023_21758366,500
024_21987578,500
025_21764665,500
026_21748904,500
027_26976107,500
028_26976108,500
029_26976109,500
030_30021698,500
031_30021637,500
032_32125551,500
033_32125568,500
034_32125390,500
035_17360369,500
036_17360368,500
037_25904011,500
038_25905593,500
039_25904010,500
040_25904665,500
041_25904691,500
042_31040075,500
043_31040074,500
045_26408558,500
050_31080444,500
051_29567823,500
054_29406182,500
056_31714843,500
058_24245592,500
059_26027598,500
061_24752508,500
063_29231675,500
068_21927453,500
070_133745031,500
071_26974343,500
072_19618271,500
074_29641053,500
075_29401702,500
076_24394207,500
079_24394211,500
088_29634940,502
089_29634947,502
090_24495844,502
091_25873091,502
092_24495842,502
093_24495843,502
094_27033003,502
112_306918001,501
115_26408656,501
116_29743424,501
120_30069631,501
9026,900
9027,900
9028,900
9029,900
9001,900
9002,900
9003,900
9004,900
8001,800
8002,800
8003,800
8004,800
8005,800
8006,800
8007,800
8008,800
8009,800
8010,800
8011,800
8012,800
12106,174
44089,172
702363,174
702363,174
37526,174
37600,174
37600,174
32572,104
31048,104
60558,114
60107,107
1001,122
32569,126
31483,124
1002,112
60569,109
31561,113
32163,106
1003,126
32043,124
32960,128
1004,170
1005,146
32828,120
1006,168
32213,124
1007,132
31396,110
31297,117
32122,111
32828,120
60695,103
1008,122
32305,123
31619,109
1009,103
60373,115
32081,107
31168,125
777_0,123
7001,700
7002,700
7003,700
7004,700
7005,700
7006,700
7007,700
7008,700
7009,700
7010,700
