sapnumber;instock;store;shelf;shelffield;shelffloor
4448;708;1031;075;04;05
5099;47;1031;088;07;05
65778;32;1031;000;00;00
67677;67;1031;044;05;05
68597;0;1031;056;05;02
82078;223;1031;039;04;01
123116;66;1031;250;05;03
149139;46;1031;042;02;04
172582;0;1031;000;00;00
191361;22;1031;078;02;04
276037;3397;1031;079;04;07
279722;0;1031;249;01;04
449177;6;1031;093;05;01
498547;0;1031;000;00;00
729507;10;1031;091;05;01
748667;17;1031;462;05;04
788065;9;1031;095;09;04
837703;0;1031;057;05;03
876233;17;1031;470;09;02
971805;13;1031;470;11;04
1049292;537;1031;260;06;04
1062437;79;1031;243;05;05
1063623;8;1031;033;02;01
1301592;0;1031;470;08;04
1446594;47;1031;049;05;03
1497986;104;1031;469;05;02
1529898;9;1031;000;00;00
1562556;31;1031;045;08;04
1575574;18;1031;457;02;03
1739610;11;1031;097;06;02
1904361;4;1031;462;02;02
1941257;16;1031;096;01;04
1941260;25;1031;096;01;04
2055127;94;1031;096;02;05
2094415;26;1031;089;04;03
2109924;0;1031;000;00;00
2204916;4;1031;104;04;03
2210484;26;1031;031;05;03
2263995;0;1031;094;05;01
2422489;999999;1031;483;02;00
2530276;999999;1031;478;03;00
2531519;8;1031;239;06;02
2589654;28;1031;467;01;04
2592321;64;1031;102;03;05
2697175;14;1031;090;04;03
2702057;31;1031;063;27;03
2702676;0;1031;000;00;00
3147289;999999;1031;466;03;03
3328512;13;1031;436;01;06
3341436;0;1031;000;00;00
3385770;0;1031;000;00;00
3390302;999999;1031;466;03;05
3397924;3;1031;406;04;04
3400157;0;1031;413;08;03
3424251;0;1031;000;00;00
3563432;53;1031;090;01;04
3582511;0;1031;000;00;00
3601137;112;1031;426;03;05
3630390;11;1031;452;09;05
3674214;0;1031;000;00;00
3702828;44;1031;089;02;02
3952943;5;1031;405;08;05
3958661;14;1031;419;05;04
3997698;0;1031;000;00;00
4055862;27;1031;000;00;00
4094085;0;1031;000;00;00
4183862;11;1031;087;01;02
4185127;0;1031;000;00;00
4229800;58;1031;447;05;06
4253377;17;1031;418;02;02
4291582;56;1031;086;01;04
4396852;9;1031;405;05;06
4414567;0;1031;000;00;00
4414931;0;1031;000;00;00
4454835;17;1031;102;02;05
4496685;8;1031;402;02;02
4536359;17;1031;472;02;04
4655101;176;1031;044;04;04
4658335;11;1031;000;00;00
4797249;22;1031;435;07;02
4886829;22;1031;077;06;06
4925673;0;1031;000;00;00
4999348;0;1031;000;00;00
5080028;44;1031;077;04;03
5126283;0;1031;095;05;01
5149868;11;1031;402;03;03
5316089;32;1031;101;04;02
5390220;112;1031;433;01;04
5409695;168;1031;037;01;01
5419322;42;1031;429;01;04
5451718;0;1031;000;00;00
5459252;999999;1031;484;05;00
5473059;18;1031;442;05;03
5546852;0;1031;093;07;03
5586995;39;1031;089;04;04
5595903;999999;1031;473;03;00
5608213;0;1031;000;00;00
5624301;0;1031;000;00;00
5641179;30;1031;416;03;02
5660467;11;1031;031;08;03
5835560;21;1031;000;00;00
6096802;999999;1031;000;00;00
6097120;0;1031;000;00;00
6142652;32;1031;431;05;04
6279009;44;1031;103;02;04
6571759;13;1031;064;01;02
6715297;91;1031;049;06;05
6903649;14;1031;247;01;07
6946499;91;1031;094;05;05
99005731;999999;1031;000;00;00
6284250;990;1031;049;05;05
6288426;990;1031;049;05;05
2184108;990;1031;049;05;05
630004;990;1031;049;05;05
1599022;990;1031;049;05;05
314365;990;1031;049;05;05
2397640;990;1031;049;05;05
2397681;990;1031;049;05;05
9423;990;1031;049;05;05
18510;990;1031;049;05;05
17530;990;1031;049;05;05
175308;990;1031;049;05;05
