merchant_reference;day;date;time_slot;capacity
1004;Monday;;10:00-12:00;2
1004;Monday;;12:00-14:00;2
1004;Monday;;14:00-16:00;2
1004;Monday;;16:00-18:00;2
1004;Monday;;18:00-20:00;2
1004;Tuesday;;10:00-12:00;2
1004;Tuesday;;12:00-14:00;2
1004;Tuesday;;14:00-16:00;2
1004;Tuesday;;16:00-18:00;2
1004;Tuesday;;18:00-20:00;2
1004;Wednesday;;10:00-12:00;2
1004;Wednesday;;12:00-14:00;2
1004;Wednesday;;14:00-16:00;2
1004;Wednesday;;16:00-18:00;2
1004;Wednesday;;18:00-20:00;2
1004;Thursday;;10:00-12:00;2
1004;Thursday;;12:00-14:00;2
1004;Thursday;;14:00-16:00;2
1004;Thursday;;16:00-18:00;2
1004;Thursday;;18:00-20:00;2
1004;Friday;;10:00-12:00;2
1004;Friday;;12:00-14:00;2
1004;Friday;;14:00-16:00;2
1004;Friday;;16:00-18:00;2
1004;Friday;;18:00-20:00;2
1004;Saturday;;10:00-12:00;2
1004;Saturday;;12:00-14:00;2
1004;Saturday;;14:00-16:00;2
1004;Saturday;;16:00-18:00;2
1004;Saturday;;18:00-20:00;2
1004;Sunday;;10:00-12:00;0
1004;Sunday;;12:00-14:00;0
1004;Sunday;;14:00-16:00;0
1004;Sunday;;16:00-18:00;0
1004;Sunday;;18:00-20:00;0
1021;Monday;;10:00-12:00;2
1021;Monday;;12:00-14:00;2
1021;Monday;;14:00-16:00;2
1021;Monday;;16:00-18:00;2
1021;Monday;;18:00-20:00;2
1021;Tuesday;;10:00-12:00;2
1021;Tuesday;;12:00-14:00;2
1021;Tuesday;;14:00-16:00;2
1021;Tuesday;;16:00-18:00;2
1021;Tuesday;;18:00-20:00;2
1021;Wednesday;;10:00-12:00;2
1021;Wednesday;;12:00-14:00;2
1021;Wednesday;;14:00-16:00;2
1021;Wednesday;;16:00-18:00;2
1021;Wednesday;;18:00-20:00;2
1021;Thursday;;10:00-12:00;2
1021;Thursday;;12:00-14:00;2
1021;Thursday;;14:00-16:00;2
1021;Thursday;;16:00-18:00;2
1021;Thursday;;18:00-20:00;2
1021;Friday;;10:00-12:00;2
1021;Friday;;12:00-14:00;2
1021;Friday;;14:00-16:00;2
1021;Friday;;16:00-18:00;2
1021;Friday;;18:00-20:00;2
1021;Saturday;;10:00-12:00;2
1021;Saturday;;12:00-14:00;2
1021;Saturday;;14:00-16:00;2
1021;Saturday;;16:00-18:00;2
1021;Saturday;;18:00-20:00;2
1021;Sunday;;10:00-12:00;0
1021;Sunday;;12:00-14:00;0
1021;Sunday;;14:00-16:00;0
1021;Sunday;;16:00-18:00;0
1021;Sunday;;18:00-20:00;0
1031;Monday;;10:00-12:00;10
1031;Monday;;12:00-14:00;10
1031;Monday;;14:00-16:00;10
1031;Monday;;16:00-18:00;10
1031;Monday;;18:00-20:00;10
1031;Tuesday;;10:00-12:00;10
1031;Tuesday;;12:00-14:00;10
1031;Tuesday;;14:00-16:00;10
1031;Tuesday;;16:00-18:00;10
1031;Tuesday;;18:00-20:00;10
1031;Wednesday;;10:00-12:00;10
1031;Wednesday;;12:00-14:00;10
1031;Wednesday;;14:00-16:00;10
1031;Wednesday;;16:00-18:00;10
1031;Wednesday;;18:00-20:00;10
1031;Thursday;;10:00-12:00;10
1031;Thursday;;12:00-14:00;10
1031;Thursday;;14:00-16:00;10
1031;Thursday;;16:00-18:00;10
1031;Thursday;;18:00-20:00;10
1031;Friday;;10:00-12:00;10
1031;Friday;;12:00-14:00;10
1031;Friday;;14:00-16:00;10
1031;Friday;;16:00-18:00;10
1031;Friday;;18:00-20:00;10
1031;Saturday;;10:00-12:00;10
1031;Saturday;;12:00-14:00;10
