merchant_reference;day;time_slot;capacity
1004;Monday;10:00-12:00;10
1004;Monday;12:00-14:00;10
1004;Monday;14:00-16:00;10
1004;Monday;16:00-18:00;10
1004;Monday;18:00-20:00;10
1004;Tuesday;10:00-12:00;10
1004;Tuesday;12:00-14:00;10
1004;Tuesday;14:00-16:00;10
1004;Tuesday;16:00-18:00;10
1004;Tuesday;18:00-20:00;10
1004;Wednesday;10:00-12:00;10
1004;Wednesday;12:00-14:00;10
1004;Wednesday;14:00-16:00;10
1004;Wednesday;16:00-18:00;10
1004;Wednesday;18:00-20:00;10
1004;Thursday;10:00-12:00;10
1004;Thursday;12:00-14:00;10
1004;Thursday;14:00-16:00;10
1004;Thursday;16:00-18:00;15
1004;Thursday;18:00-20:00;10
1004;Friday;10:00-12:00;15
1004;Friday;12:00-14:00;15
1004;Friday;14:00-16:00;15
1004;Friday;16:00-18:00;15
1004;Friday;18:00-20:00;10
1004;Saturday;10:00-12:00;10
1004;Saturday;12:00-14:00;10
1004;Saturday;14:00-16:00;10
1004;Saturday;16:00-18:00;10
1004;Saturday;18:00-20:00;10
1004;Sunday;10:00-12:00;0
1004;Sunday;12:00-14:00;0
1004;Sunday;14:00-16:00;0
1004;Sunday;16:00-18:00;0
1004;Sunday;18:00-20:00;0
1031;Monday;10:00-12:00;10
1031;Monday;12:00-14:00;10
1031;Monday;14:00-16:00;10
1031;Monday;16:00-18:00;10
1031;Monday;18:00-20:00;10
1031;Tuesday;10:00-12:00;10
1031;Tuesday;12:00-14:00;10
1031;Tuesday;14:00-16:00;10
1031;Tuesday;16:00-18:00;10
1031;Tuesday;18:00-20:00;10
1031;Wednesday;10:00-12:00;10
1031;Wednesday;12:00-14:00;10
1031;Wednesday;14:00-16:00;10
1031;Wednesday;16:00-18:00;10
1031;Wednesday;18:00-20:00;10
1031;Thursday;10:00-12:00;10
1031;Thursday;12:00-14:00;10
1031;Thursday;14:00-16:00;10
1031;Thursday;16:00-18:00;10
1031;Thursday;18:00-20:00;10
1031;Friday;10:00-12:00;10
1031;Friday;12:00-14:00;10
1031;Friday;14:00-16:00;10
1031;Friday;16:00-18:00;10
1031;Friday;18:00-20:00;10
1031;Saturday;10:00-12:00;10
1031;Saturday;12:00-14:00;10
1031;Saturday;14:00-16:00;10
1031;Saturday;16:00-18:00;10
1031;Saturday;18:00-20:00;10
1031;Sunday;10:00-12:00;0
1031;Sunday;12:00-14:00;0
1031;Sunday;14:00-16:00;0
1031;Sunday;16:00-18:00;0
1031;Sunday;18:00-20:00;0
1057;Monday;10:00-12:00;15
1057;Monday;12:00-14:00;15
1057;Monday;14:00-16:00;15
1057;Monday;16:00-18:00;15
1057;Monday;18:00-20:00;15
1057;Tuesday;10:00-12:00;15
1057;Tuesday;12:00-14:00;15
1057;Tuesday;14:00-16:00;15
1057;Tuesday;16:00-18:00;15
1057;Tuesday;18:00-20:00;15
1057;Wednesday;10:00-12:00;15
1057;Wednesday;12:00-14:00;15
1057;Wednesday;14:00-16:00;15
1057;Wednesday;16:00-18:00;15
1057;Wednesday;18:00-20:00;15
1057;Thursday;10:00-12:00;15
1057;Thursday;12:00-14:00;15
1057;Thursday;14:00-16:00;15
1057;Thursday;16:00-18:00;15
1057;Thursday;18:00-20:00;15
1057;Friday;10:00-12:00;15
1057;Friday;12:00-14:00;15
1057;Friday;14:00-16:00;15
1057;Friday;16:00-18:00;15
1057;Friday;18:00-20:00;15
1057;Saturday;10:00-12:00;15
1057;Saturday;12:00-14:00;15
1057;Saturday;14:00-16:00;15
1057;Saturday;16:00-18:00;15
1057;Saturday;18:00-20:00;15
1057;Sunday;10:00-12:00;0
1057;Sunday;12:00-14:00;0
1057;Sunday;14:00-16:00;0
1057;Sunday;16:00-18:00;0
1057;Sunday;18:00-20:00;0
1042;Monday;10:00-12:00;20
1042;Monday;12:00-14:00;15
1042;Monday;14:00-16:00;16
1042;Monday;16:00-18:00;16
1042;Monday;18:00-20:00;16
1042;Tuesday;10:00-12:00;20
1042;Tuesday;12:00-14:00;15
1042;Tuesday;14:00-16:00;15
1042;Tuesday;16:00-18:00;15
1042;Tuesday;18:00-20:00;10
1042;Wednesday;10:00-12:00;20
1042;Wednesday;12:00-14:00;15
1042;Wednesday;14:00-16:00;15
1042;Wednesday;16:00-18:00;15
1042;Wednesday;18:00-20:00;10
1042;Thursday;10:00-12:00;20
1042;Thursday;12:00-14:00;15
1042;Thursday;14:00-16:00;15
1042;Thursday;16:00-18:00;15
1042;Thursday;18:00-20:00;10
1042;Friday;10:00-12:00;20
1042;Friday;12:00-14:00;15
1042;Friday;14:00-16:00;20
1042;Friday;16:00-18:00;20
1042;Friday;18:00-20:00;15
1042;Saturday;10:00-12:00;20
1042;Saturday;12:00-14:00;15
1042;Saturday;14:00-16:00;20
1042;Saturday;16:00-18:00;20
1042;Saturday;18:00-20:00;15
1042;Sunday;10:00-12:00;0
1042;Sunday;12:00-14:00;0
1042;Sunday;14:00-16:00;0
1042;Sunday;16:00-18:00;0
1042;Sunday;18:00-20:00;0
