"This value should have exactly 6 characters.","Tato hodnota má mít přesně 6 znaků"
"Root group","Administrátor On-line Shopu"
"Delivery group","Dodací personál"
"Picker group","Picker"
Supervisor group,"Supervizor. skupina"
Support center group,"Skupina centra podpory"
Action,"Akce"
"Add Group","Přidat skupinu"
"Add new Role","Přidat novou roli"
"Add Rule","Přidat pravidlo"
"Assigned groups","Přiřazené skupiny"
"Assigned Roles","Přiřazené role"
"Assigned Rules","Přiřazená pravidla"
Bundle,"Balení"
Controller,"Controller"
"Could not modify root role node!","Uzlový bod nelze změnit."
Create,"Vytvořit"
"Create Group","Vytvořit skupinu"
"Create new Role","Vytvořit novou roli"
"Create Role","Vytvořit roli"
"Current password","Aktuální heslo"
"Edit Group","Upravit skupinu"
"Failed to add Rule.","Pravidlo nebylo možné přidat."
"Failed to remove rule","Pravidlo nebylo možné odstranit"
"Group couldn't be found","Skupina nebyla nalezena"
"Group name already in use","Název skupiny se již používá"
"Group was created successfully.","Skupina byla úspěšně vytvořena."
"Group was updated successfully.","Skupina byla úspěšně aktualizována."
"Interface language","Jazyk interface"
"List Groups","Seznam skupin"
"List Roles","Seznam rolí"
"Missing role id!","Chybějící ID role!"
"Missing rule id!","Chybějící ID pravidla!"
"No roles","Žádné role"
Permission,"Oprávnění"
Role,"Role"
"Role ""%s"" successfully added.","Role ""%s"" úspěšně přidána."
"Role ""%s"" successfully updated.","Role ""%s"" úspěšně aktualizována."
"Role couldn't be found","Role nebyla nalezena"
"Role list","Seznam rolí"
"Role name","Název rolí"
"Role was successfully removed.","Role byla úspěšně odstraněna."
Roles,"Role"
roles,"Role"
"Root group","Kmenová skupina"
Rule,"Pravidlo"
"Rule successfully added.","Pravidlo úspěšně přidáno."
Save,"Uložit"
"Select value","Vyberte hodnotu"
"The password fields must match.","Pole s heslem musí souhlasit."
"The User was removed from the group.","Uživatel byl ze skupiny odstraněn."
"This action requires a DELETE request.","Tato akce vyžaduje žádost o SMAZÁNÍ."
"This user is an agent","Tento uživatel je asistent zákazníka"
"Unable to delete because role has groups assigned.","Nelze smazat, protože roli byly přiřazeny skupiny."
"Update ""%s"" Role","Aktualizovat""%s"" roli"
"User and group are not found.","Uživatel a skupina nebyla nalezena."
"User was activated successfully.","Uživatel byl úspěšně aktivován."
"User was deactivated successfully.","Uživatel byl úspěšně deaktivován."
"User was deleted successfully.","Uživatel byl úspěšně smazán."
"User was updated successfully.","Uživatel byl úspěšně aktualizován."
Users,"Uživatelé"
"Users Control","Správa uživatele"
Groups,"Skupiny"
allow,"povolit"
deny,"zamítnout"
"Edit Role","Upravit roli"
"Created At","Vytvořeno dne:"
"Create new Group","Vytvořit novou skupinu"
