"Overview of Products Availability","Přehled dostupnosti produktů"
"Product availability list    ","Seznam dostupných produktů"

"Abstract product availability","Dostupnost abstraktního produktu"
Actions,"Akce"
Availability,"Dostupnost"
"Availability information for selected product - store pair does not exist.","Informace o dostupnosti vybraného produktu - pár marketu není k dispozici."
Available,"Dostupný"
"Available in stores","Dostupné v marketu"
"Back to product","Zpět na Produkt"
"Current Stock","Aktuální stav"
"Edit Stock","Upravit stav zásob"
"Is bundle product","Je zabalený produkt"
"Is never out of stock","Je vždy na skladě"
"List of product availability","Seznam dostupnosti produktů"
n/a,"n/a"
Name,"Jméno"
No,"Ne"
"Not available","Není dostupný"
"Product Availability","Dostupnost produktu"
"Product availability list","Seznam dostupnosti produktů"
"Products Availability","Dostupnost produktu"
"Quantity in Bundle","Množství v balení"
"Reserved Products","Rezervované produkty"
Save,"Uložit"
Search,"Vyhledávání"
SKU,"SKU"
"Variant availability","Dostupnost variant"
Yes,"Ano"
