Approved,"Potvrzeno"
"Back to CMS","Zpět na CMS"
"Back to list","Zpět na seznam"
"Block Id","Block ID"
Blocks,"Bloky"
"Categories: bottom","Kategorie: dole"
"Categories: middle","Kategorie: střední"
"Categories: top","Kategorie: nahoře"
"Category list","Kategorie: seznam"
"CMS Block","CMS Blok"
"CMS Block was created successfully.","CMS blok úspěšně vytvořen."
"CMS Block was deactivated successfully.","CMS blok úspěšně deaktivován."
"CMS Block was updated successfully.","CMS blok úspěšně aktualizován."
Content,"Obsah"
"Create block","Vytvořit  blok"
"Create CMS Block","Vytvořit CMS blok"
"Edit block","Upravit blok"
"Edit Block Glossary:","Upravit glosář bloku:"
"Edit CMS Block:","Upravit CMS blok:"
"Edit CMS Block","Upravit CMS blok"
"Edit placeholders","Upravit zástupný symbol"
"Invalid data provided.","Zadána neplatná data."
"Is active:","Je aktivní:"
"List of CMS blocks","Seznam bloků CMS"
"Missing placeholders for selected template.","Chybějící zástupný symbol pro zvolenou předlohu."
n/a,"n/a"
"Name ","Jméno"
no,"Ne"
"Overview of CMS Blocks","Přehled CMS bloků"
"Placeholders","Zástupné symboly"
"Placeholder translations successfully updated.","Překlady zástupného symbolu úspěšně aktualizovány."
"Product list","Seznam produktů"
Sales,"Prodej"
Save,"Uložit"
"Selected template doesn't exist anymore","Vybraná předloha již neexistuje."
"Selected template doesn't exist anymore.","Vybraná předloha již neexistuje."
"Store relation","Vztah marketu"
Template,"Předloha"
Template:,"Předloha:"
"Translation key:","Klíč překladu:"
"Valid from","Platné od"
"Valid from:","Platné od (včetně):"
"Valid to","Platné do"
"Valid to:","Platné do (vyjma):"
"View CMS Block:","Zobrazit blok CMS:"
"View CMS Block","Zobrazit blok CMS"
yes,"Ano"
