Export,"Datum exportu"
Commissioning,"ERP Export"
Date From,"Datum od"
Date To,"Datum do"
"Date from cannot be later than Date to.","Datum od nemůže být pozdější než Datum do."
"Date to cannot be earlier than Date from.","Datum Do nesmí být dříve než Datum Od.""
export.commissioning.page.title,"ERP Export"
export.commissioning.form.button,"Exportovat"
export.commissioning.devision.number,"Číslo oddělení"
export.commissioning.store.number,"Číslo HM"
export.commissioning.product.number,"Číslo artiklu"
export.commissioning.product.name,"Název artiklu"
export.commissioning.product.quantity,"Kvantita"
