content_product.template.slider,"Informace o produktové kategorie"
content_product.template.slider_with_button,"Informace o produktové kategorie s tlačítkem"
content_product.template.slider_not_include_group,"Informace o produktové kategorii bez produktové skupiny"
content_product_abstract_list.template.slider,"Slider kategorie produktu s tlačítkem"

"Abstract Product List","Seznam abstraktních produktů"
Actions,"Akce"
Active,"Aktivní"
"Add more products","Přidat další produkty"
"Add to list","Přidat k seznamu"
content_product_abstract_list.template.bottom-title,"Titul níže"
content_product_abstract_list.template.default,"Standard"
content_product_abstract_list.template.top-title,"Titul výše"
Delete,"Smazat"
ID,"ID"
Image,"Foto"
Inactive,"Neaktivní"
"Move Down","Dolů"
"Move Up","Nahoru"
Name,"Jméno"
Selected,"Vybráno"
SKU,"SKU"
Status,"Status"
Stores,"Markety"
