Registration Date,"Datum registrace"
Zip Code,"PSČ"
Billing Address,"Fakturační adresa"
Shipping Address,"Dodací adresa"
"Manage Customers","Správa zákazníků"
Mr,"Pan"
Ms,"Paní"
Divers,"Různé"
Dr,"Dr."
"Add address","Přidat adresu"
"Add Customer","Přidat zákazníka"
"Add new Address","Přidat novou adresu"
"Add new address","Přidat novou adresu"
"Address Line 1","Řádek adresy 1"
"Address line 1","Řádek adresy 1"
"Address Line 2","Řádek adresy 2"
"Address line 2","Řádek adresy 2"
"Address Line 3","Řádek adresy 3"
"Address line 3","Řádek adresy 3"
Back,"Zpět"
"Back to Customer View","Zpět na Zákaznický náhled"
"Back to Customers","Zpět na Zákazníka"
"Back to Manage Addresses","Zpět na Spravovat adresy"
City,"Město"
Company,"Firma"
Country,"Země"
Customers,"Zákazníci"
"Customer deletion confirmation","Výmaz zákazníka potvrzen"
"Customer does not exist","Zákazník neexistuje"
"Customer Reference","Reference zákazníka"
"Customer successfully deleted","Zákazník byl úspěšně smazán"
"Customer was created successfully.","Zákazník byl úspěšně vytvořen."
"Customer was not created.","Zákazník nebyl vytvořen."
"Customer was not updated.","Zákazník nebyl aktualizován."
"Customer was updated successfully.","Zákazník byl úspěšně aktualizován."
"Customer with id `%s` does not exist","Zákazník s ID `%s` neexistuje"
"Date of birth","Datum narození"
Delete,"Smazat"
"Delete account","Smazat účet"
"Edit Address","Upravit adresu"
"Edit customer","Upravit zákazníka"
"Edit Customer","Upravit zákazníka"
Email,"E-mail"
"First Name","Křestní jméno"
"First name","Křestní jméno"
"Form was not submitted.","Formulář nebyl podán."
Gender,"Pohlaví"
"Last name","Příjmení"
"Last Name","Příjmení"
"List Customers","Seznam zákazníků"
Locale,"Národnost"
"Male","Mužský"
"Female","Ženský"
Phone,"Telefon"
"Registered at","Registrován u"
Salutation,"Oslovení"
Save,"Uložit"
"Select one","Jednu vybrat"
"Send password token through email","Pošlete heslo token e-mailem"
View,"Náhled"
"View Customer","Zobrazit zákazníky"
"Zed Account Reference","Zed účet reference"
ZipCode,"PSČ"
"Registration Date","Datum registrace"
"Billing Address","Fakturační adresa"
"Shipping Address","Dodací adresa"
"Attach to company","Přiřadit firmě"
"Add a customer","Přidat zákazníka"
"Comment successfully added","Komentář úspěšně doplněn."
"Address (2nd line)","Adresa (druhý řádek)"
"Address (3rd line)","Adresa (třetí řádek)"
MobilePhone,"Mobilní telefon"
"Address ","Adresa"
customer.address.zip_code,"PSČ"
