day-of-week.n.0,"Neděle"
day-of-week.n.1,"Pondělí"
day-of-week.n.2,"Úterý"
day-of-week.n.3,"Středa"
day-of-week.n.4,"Čtvrtek"
day-of-week.n.5,"Pátek"
day-of-week.n.6,"Sobota"
month-name.n.01,"Leden"
month-name.n.02,"Únor"
month-name.n.03,"Březen"
month-name.n.04,"Duben"
month-name.n.05,"Květen"
month-name.n.06,"Červen"
month-name.n.07,"Červenec"
month-name.n.08,"Srpen"
month-name.n.09,"Září"
month-name.n.10,"Říjen"
month-name.n.11,"Listopad"
month-name.n.12,"Prosinec"
mail.invoice.group.name,"Skupina společností Spryker Systems GmbH"
mail.invoice.number,"Číslo dokladu"
mail.invoice.goods,"Tímto Vám účtujeme následující zboží"
mail.invoice.table.number,"Poř. č."
mail.invoice.table.quantity,"Množství"
mail.invoice.table.name,"Název položky"
mail.invoice.table.tax,"DPH %"
mail.invoice.table.price,"Cena za jednotku"
mail.invoice.table.sum,"MJ"
mail.invoice.table.total.gross,"Celkem za MJ"
mail.invoice.table.total.net,"Celkem vč. DPH"
mail.invoice.table.payment.amount,"Částka k úhradě"
mail.invoice.table.delivery.date,"Datum doručení"
mail.order.confirmation.item.quantity,"Množství"
mail.order.confirmation.collect.number,"Váš osobní vyzvedávací kód"
