"Add Merchant","Přidat výdejní místo"
"Back to Merchants","Zpět na přehled výdejních míst"
"Edit Merchant","Upravit výdejní místo"
"Edit Merchant:","Upravit výdejní místo:"
"List of Merchants","Přehled výdejních míst"
"Merchant created successfully.","Výdejní místo úspěšně vytvořeno"
"Merchant has not been created.","Výdejní místo nebylo vytvořeno"
"Merchant Id","ID výdejního místa"
"Merchant updated successfully.","Výdejní místo upraveno"
"Merchant with id %s doesn't exists.","Výdejní místo s tímto ID %s neexistuje."
"Overview of Merchants","Přehled výdejních míst"
Save,"Uložit"
Cancel,"Zrušit"
approved,"Schváleno"
denied,"Zamítnuto"
approved_button,"Udělit přístup"
denied_button,"Zamítnout přístup"
E-Mail,"E-Mail"
Name,"Jméno"
"Registration number","Registrační číslo"
"Contact person first name","Jméno kontaktní osoby"
"Contact person last name","Příjmení kontaktní osoby"
"Contact person phone","Telefon kontaktní osoby"
"Contact person title","Titul kontaktní osoby"
Email,"E-mail"
General,"Obecný"
Pickzone,"Pickovací zóny"
AssortmentZone,"Zóna sortimentu"
merchant_gui.error_wrong_params,"Stav nelze aktualizovat."
merchant_gui.success_merchant_status_update,"Stav byl aktualizován"
"Merchant reference is already used.","Referenční číslo výdejního místa se již používá."
Merchants,"Výdejní místa"
Email,"E-mailové adresy"
Merchant Reference,"Pobočky reference"
Merchants Management,"Správa poboček"
Capacities,"Kapacity"
Location,"Poloha"
Capacity management,"Správa kapacit"
edit_standard_plan,"Upravit výchozí plán"
date_from,"Datum od"
date_to,"Datum do"
select,"Vybrat"
edit_days,"Upravit dny"
timeslot_capacity_edit_warning,"POZOR: ""Upozornění: změníte kapacity na příslušný den"""
Is active,"Je aktivní"
Is cashier txt,"Je cashier txt"
Is cashier xml,"Je cashier xml"
Is password protected,"Je chráněno heslem"
NewPickingAppFunctionEnabled,Nová funkce Vychystávání aplikace
