"Custom CSS class","Specifická třída CSS"
"Date ""Valid from"" cannot be later than ""Valid to"".","Datum ""Platné od"" nesmí být pozdější než datum ""Platné do""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","Datum ""Platné do""nesmí být dříve než datum ""Platné od""."
"Edit Navigation Element: ","Upravit navigační prvek:"
"External URL","Externí URL"
"If a navigation node is inactive, then this item and all navigation items under this one will not be visible.","Pokud není navigační uzel aktivní, nelze vidět tuto položku ani všechny navigační prvky pod ní."
"Incorrect request data.","Nesprávná data dotazování"
"Links should start with ""/"".","Vlevo by mělo začít ""/""."
"List of navigation elements","Seznam navigačních prvků"
Navigation,"Navigace"
"Navigation element %d was activated successfully.","Navigační prvek %d byl úspěšně aktivován."
"Navigation element %d was created successfully.","Navigační prvek %d byl úspěšně vytvořen."
"Navigation element %d was deactivated successfully.","Navigační prvek %d byl úspěšně deaktivován."
"Navigation element %d was deleted successfully.","Navigační prvek %d byl úspěšně smazán."
"Navigation element %d was not found.","Navigační prvek %d nebyl nalezen."
"Navigation element %d was not found.","Navigační prvek %d nebyl nalezen."
"Navigation element %d was updated successfully.","Navigační prvek %d byl úspěšně aktualizován."
"Navigation element details","Detaily navigačního prvku"
"Navigation node ""%s"" was created successfully.","Navigační uzel ""%s"" byl úspěšně vytvořen."
"Navigation node ""%s"" was deleted successfully.","Navigační uzel ""%s"" byl úspěšně smazán."
"Navigation node ""%s"" was updated successfully.","Navigační uzel ""%s"" byl úspěšně aktualizován."
"Navigation tree updated successfully.","Navigační strom úspěšně aktualizován."
"Navigation with id %s doesn't exist","Navigace s ID %s neexistuje"
"Navigation with the same key already exists.","Navigace se stejným ID %s již existuje."
"This value is not a valid category URL for the given locale.","Tato hodnota není platné URL kategorie pro toto locale."
"This value is not a valid CMS page URL for the given locale.","Tato hodnota není platné URL CMS stránky pro toto locale."
"Type 3 letters to search by category name.","Zadejte 3 písmena, aby bylo možné vyhledávat dle názvů kategorií."
"Type 3 letters to search by CMS page name.",Zadejte 3 písmena, aby bylo možné vyhledávat dle názvu CMS stránky."
"You can drag and drop to define item order.","Pomocí drag and drop můžete určit pořadí artiklů."
