"Payment Methods","Způsob platby"
Actions,"Akce"
View,"Náhled"
Edit,"Upravit"
"Payment Method Key","Klíč způsobu platby"
Name,"Jméno"
Provider,"Poskytovatel"
Status,"Status"
"Available in Store","Dostupné v marketu"
Active,"Aktivní"
Inactive,"Neaktivní"
"View Payment Method: %s","Náhled způsobu platby: %s"
"List Payment Methods","Seznam způsobů platby"
Configuration,"Konfigurace"
"Payment Provider","Poskytovatel platby"
"Is this payment method active?","Je tento způsob platby aktivní?"
"Store relation","Vztah marketu"
"Payment method not found","Způsob platby nenalezen"
Save,"Uložit"
"Available in the following store(s)","Dostupné v tomto (těchto) marketu (marketech)"
"Edit Payment Method: %s","Upravit způsob platby: %s"
"Is the Payment Method active?","Je tento způsob platby aktivní?"
