picking_zone_order_export_gui.title,"Picking Zone Order Items Export"
picking_zone_order_export_gui.field.picking_zone_id,"Pickovací zóna"
picking_zone_order_export_gui.field.picking_date,"Datum pickování"
picking_zone_order_export_gui.field.button,"Export"
picking_zone_order_export_gui.field.reset,"Resetovat"
picking_zone_order_export.column.picking_date,"Datum pickování"
picking_zone_order_export.column.time_slot,"Časový interval"
picking_zone_order_export.column.article,"Artikl"
picking_zone_order_export.column.total_amount,"Celková částka objednávky"
picking_zone_order_export.column.weight_per_unit,"Průměrná hmotnost"
picking_zone_order_export.column.location,"Místo"
picking_zone_order_export.column.ean,"EAN"
picking_zone_order_export.column.brand,"Značka"
picking_zone_order_export.column.content,"Obsah"
picking_zone_order_export.column.price,"Cena"
picking_zone_order_export.column.unit.price,"Jednotková cena"
picking_zone_order_export.column.shelf,"Regál"
picking_zone_order_export.column.shelf_floor,"Spodní police"
picking_zone_order_export.column.shelf_field,"Policové pole"
picking_zone_order_export_gui.field.picking_time_slots,"Volné intervaly vyzvednutí"
picking_zone_order_export_gui.field.picking_time_status,"Status"
