Export,"Exportovat"
Postings,"Účtování"
Date From,"Datum Od"
Date To,"Datum Do"
"Date from cannot be later than Date to.","Datum Od nemůže být pozdější než Datum Do."
"Date to cannot be earlier than Date from.","Datum Do nemůže být dřívější než Datum Od."
export.posting.page.title,"Exportovat účtování"
export.pos.page.title,"Exportovat PoS"
export.posting.form.button,"Exportovat"
export.commissioning.form.button,"Generovat ERP export"
export.pos.form.button,"Exportovat PoS"
export.posting.invoice.region-number,"Firma"
export.posting.invoice.store-code,"Pobočka"
export.posting.invoice.date,"Fakturační datum"
export.posting.invoice.number,"Číslo faktury"
export.posting.net.amount.zero-tax,"Čistá částka 0%"
export.posting.net.amount.low-tax,"Čistá částka 7%"
export.posting.net.amount.standard-tax,"Čistá částka 19% bez zálohy a servisního poplatku"
export.posting.low-tax,"Daň 7%"
export.posting.standard-tax,"Daň 19% bez zálohy a servisního poplatku"
export.posting.gross.amount.low-tax,"Hrubá částka 7%"
export.posting.gross.amount.zero-tax,"Hrubá částka 0%"
export.posting.gross.amount.standard-tax,"Hrubá částka 19% bez zálohy a servisního poplatku"
export.posting.deposit.sold.amount,"Příjem zálohy"
export.posting.deposit.received.amount,"Výdej zálohy"
export.posting.net.deposit,"Čistá částka záloha"
export.posting.tax.deposit,"Daň záloha"
export.posting.gross.expenses,"Hrubá částka servisní poplatek"
export.posting.transaction-id,"ID transakce"
export.posting.payment-type,"Způsob platby"
export.posting.email,"E-mail zákazníka"
payment.payone.creditcard,"Platební karta"
payment.payone.e_wallet,"PayPal"
payment.payone.online_bank_transfer,"Okamžitý převod"
payment.payone.instant-online-transfer,"Okamžitý převod"
export.order.number,"Číslo objednávky"
export.customer.number,"Číslo zákazníka"
export.product.number,"Číslo artiklu"
export.product.quantity,"Množství"
export.product.gross-no-deposit,"Hrubá částka bez zálohy"
export.product.tax-rate,"Sazba daně"
export.product.gross-deposit,"Hrubá částka záloha"
