"1. General Information","1. Obecné informace"
"2. Translations","2. Překlady"
Add,"Přidat"
"Add Attribute","Přidat atribut"
"Allow input any value other than predefined ones","Povoleno zadání jiné než předem definované hodnoty"
"Attribute ID","ID atributu"
"Attribute key","Klíč atributu"
"Attribute Key","Klíč atributu"
"Attribute list","Seznam atributů"
"Attribute name translation","Překlad názvů atributů"
"Attributes and their values are used by the backoffice application. They are unique and cannot contain special characters.","Atributy a jejich hodnoty používá aplikace backoffice. Jsou jedinečné a nesmí obsahovat speciální znaky."
Back,"Zpět"
"Back to List","Zpět na seznam"
"Back to Product Abstract","Zpět na Přehled produktů"
"Back to Product List","Zpět na Seznam produktů"
"Create a Product Attribute","Vytvořit atribut produktu"
"Create Product Attribute","Vytvořit atribut produktu"
date,"Datum"
datetime,"datetime"
Edit,"Upravit"
"Edit Product","Upravit produkt"
"Edit Product Abstract","Upravit abstraktní produkt"
"Edit Product Attribute","Upravit atribut produktu"
float,"float"
"General Information","Obecné informace"
"Input type","Typ zadání"
"Manage Attributes for Product","Spravovat atributy pro produkt"
"Manage Attributes for Product Abstract","Spravovat atributy pro abstraktní produkt"
number,"Číslo"
"Predefined value translations","Předem definované hodnoty"
"Predefined values","Předem definované překlady hodnot"
"Predefined Values","Předem definované překlady hodnot"
"Product Abstract Attributes Management","Správa abstraktních produktových atributů"
"Product abstract attributes saved","Atributy abstraktního produktu uloženy"
"Product attribute was created successfully.","Atribut produktu byl úspěšně vytvořen."
"Product attribute was not created.","Atribut produktu nebyl vytvořen."
"Product attribute was updated successfully.","Atribut produktu byl úspěšně aktualizován."
"Product Attributes","Atributy produktu"
"Product Attributes Management","Správa atributů produktu"
"Product attributes saved","Atributy produktu uloženy"
Save,"Uložit"
select,"Vybrat"
"Super attribute","Super atributy"
"Super Attribute","Super atributy"
text,"Text"
textarea,"Oblast textu"
time,"Time"
"Translate predefined values","Přeložit přednastavené hodnoty"
"Translation was updated successfully.","Překlad byl úspěšně aktualizován."
"Type first three letters of an existing attribute key for suggestions.","Zadejte první tři písmena existujícího klíče atributů, abyste obdrželi návrhy."
Values,"Hodnoty"
"View Attribute","Náhled atributů"
"View Product Attribute","Zobrazit atribut produktu"
"You can add new values by pressing ""Enter"" after each element","Můžete přidat další hodnoty tak, že po každém prvku stisknete ""Enter"""
