Activate,"Aktivovat"
"Add a Cms block","Přidat CMS blok"
"Add a Cms page","Přidat CMS stránku"
"Add CMS Block","Přidat CMS blok"
"Add CMS Page","Přidat CMS stránku"
"Add a CMS Redirect","Přidat CMS redirect"
"Back to CMS","Zpět na CMS"
"CMS blocks","CMS bloky"
"Create new CMS Redirect","Vytvořit nový CMS Redirect"
Deactivate,"Deaktivovat"
"Delete CMS Block","Smazat CMS blok"
"Delete CMS Page","Smazat CMS stránku"
"Edit a Cms Block","Upravit CMS blok"
"Edit a Cms page","Upravit CMS stránku"
"From Url","Od URL"
"ID redirect URL is not set.","ID redirect URL není nastaveno"
Loading...,"Načítá se …"
"New template(s) detected and added to the template list.","Rozpoznána(y) nová(é) předloha(y) a doplněna(y) do seznamu předloh."
"Please select","Prosím vyberte"
"Redirect status code","Redirect status code"
"Redirect was created successfully.","Redirect byl úspěšně vytvořen."
"Redirect was deleted successfully.","Redirect byl úspěšně smazán."
"Redirect was updated successfully.","Redirect byl úspěšně aktualizován."
Redirects,"Přesměrování"
Save,"Uložit"
"Save All","Všechny uložit"
"To URL","Na URL"
"URL is already used.","URL se již používá."
"URL must start with a slash","URL musí začínat lomítkem"

"<1d | 1d-7d | >7d","<1den| 1-7dnů | >7den"
"# of Other Labels","# jiných etiket"
Activate,"Aktivovat"
"Assigned products","Přiřazené produkty"
"Available products","Dostupné produkty"
"Back to Product Labels","Zpět na Etikety produktů"
Categories,"Kategorie"
"Create a Product Label","Vytvořit etiketu produktu"
"Create Product Label","Vytvořit etiketu produktu"
"De-select all","Všechna označení zrušit"
Deactivate,"Deaktivovat"
Edit,"Upravit"
"Edit Product Label","Upravit etiketu produktu"
"Is Exclusive","Je exkluzivní"
"Is exclusive","Je exkluzivní"
"List of Product Labels","Seznam etiket produktů"
"Missing or wrong request data","Chybějící nebo nesprávná data dotazu"
"Name","Jméno"
"Overview of Product Labels","Přehled etiket produktu"
"Prioritize Product Labels","Prioritizujte produktové etikety"
Priority,"Priorita"
"Product label #%d successfully activated.","Etiketa produktu #%d úspěšně aktivována."
"Product label #%d successfully deactivated.","Etiketa produktu #%d úspěšně deaktivována."
"Product label #%d successfully updated.","Etiketa produktu #%d úspěšně aktualizována."
"Product label priority updated successfully.","Priorita etikety produktu úspěšně aktualizována."
"Products Applied to","Produkty, na které se vztahuje"
"Products for this label are assigned dynamically, you can't manage relations manually.","Produkty pro tuto etiketu se přiřazují dynamicky – nemůžete spravovat vztahy manuálně."
"Products to which this label applies","Produkty, na které se vztahuje tato etiketa"
Save,"Uložit"
"Select all","Vyberte všechny"
"Selected products to assign","Vybrané produkty, které se mají přiřadit"
"Selected products to de-assign","Vybrané produkty, jejichž přiřazení lze zrušit"
Translations,"Překlad"
"Valid From","Platné od"
"Valid To","Platné do"
Validity,"Platnost"
View,"Náhled"
"View Product Label","Náhled etikety produktu"
"Product Options","Možnosti produktu"
