Product,"Přehled produktů"
Manage Products,"Správa produktů"
List Products,"Seznam produktů"
Products,"Produkty"
Attributes,"Atributy produktů"
Availability,"Dostupnost produktů"

Active,"Aktivní"
Activate,"Aktivovat"
"Add General Information","Přidat obecné informace"
"Add image","Přidat obrázek"
"Add image set","Přidat sadu obrázků"
"Add Product Concrete","Konkretes Produkt hinzufügen"
"Add Variant","Variante hinzufügen"
"Assigned products","Zugeordnete Produkte"
Attributes,"Atributy"
"Available in stores","Dostupné v marketu"
"Below are the product variants listed. Each variant may be edited independent from the others.","Níže jsou vyjmenovány produktové varianty. Každou variantu lze upravit nezávisle na ostatních."
"Below the name and description for your product can be edited for different locales (in different languages).","Níže lze upravit název a popis Vašeho produktu pro různé locales (v různých jazycích)."
"Below you can choose between your predefined tax sets and edit the price of your product.","Níže můžete vybrat mezi předem zvolenými nastaveními daně a změnit cenu Vašeho produktu."
"Bundle availability based on assigned products:","Dostupnost balení na základě přiřazených produktů:"
Categories,"Kategorie"
"CMS Block list","Seznam CMS bloků"
"Configurable Product Attributes","Konfigurovatelné atributy produktů"
"Contains bundles","Obsahuje produkty v balení"
"Create a Product","Vytvořit produkt"
"Create Bundle Product","Vytvořit produkt v balení"
"Create Product","Vytvořit produkt"
Deactivate,"Deaktivovat"
Deactivated,"Deaktivován"
Default,"Standard"
"Delete image","Smazat obrázek"
"Delete image set","Smazat sadu obrázků"
Edit,"Upravit"
"Edit Concrete Product","Upravit konkrétní produkt"
"Edit Product Abstract","Upravit abstraktní produkt"
"Edit Product Concrete","Upravit konkrétní produkt"
"Enter price.","Zadat cenu."
"Enter stock value. In case you create multiple variants, the stock can be managed under ""Product Variants"" and this input field will be ignored.","Zadat hodnotu zásob. Pokud je vytvořeno více variant, lze stav zásob spravovat pod ""Produktové varianty"" a toto zadávací pole se ignoruje."
General,"Obecně"
"Gross price","Hrubá cena"
"Image Set","Sada obrázků"
"Image Sets","Sady obrázků"
Large,"Velké"
"List Products",Seznam produktů
"Manage Attributes","Spravovat atributy"
"Merchant Price Dimension","Dimenze ceny obchodníka"
"Multiple images can be grouped to an image set. An image set has a name for identification and may contain a small and a large version of each image","Více obrázků je možno seskupit do sady obrázků. Sada obrázků má název pro identifikaci a může obsahovat malou a velkou verzi každého obrázku."
n/a,"n/a"
"Net price","Cena netto"
"Never out of stock","Vždy na skladě"
"No categories found.","Nenalezeny žádné kategorie."
"No records","Žádné záznamy"
"Note: Deactivated product variants are not available in the shop anymore.","Info: Deaktivované produktové varianty už v shopu nejsou dostupné."
"Note: Image sets can be used for different purposes such as being displayed in the catalog or the product detail page or elsewhere.","Info: Sady obrázků lze použít k různým účelům, jako např. k zobrazení v katalogu, v detailním náhledu produktu, nebo na jiných místech."
"Note: Meta data are snippets of text describing a page’s content. The meta data appear only in the page’s code, not in its content.","Info: Metadata jsou úryvky textu, které popisují obsah stránky. Metadata se objevují jen v kódu stránky, ne v obsahu stran."
"Note: The price that you edit here is only displayed in the shop catalog and the product detail page for the non configured product (Not product variant)","Info: Cena, kterou zde upravujete, se zobrazí pouze v katalogu Shopu a v detailním náhledu nekonfigurovaného produktu (ne produktové varianty)."
"Note: The SKU is not editable after saving anymore.","Info: SKU po uložení už nelze upravovat."
"Note: The SKU prefix, just like the SKUs of your product variants, are not editable after saving anymore.","Info: Předpona SKU, stejně jako SKU Vašich produktových variant, po uložení už nelze upravovat."
"Price & Stock","Cena a sklad"
"Price (GROSS_MODE)","Cena (GROSS_MODE)"
"Price & Tax","Cena a daň"
"Price & Taxes","Cena a daně"
"Product bundle does not have variants!","Balení produktu nemá varianty!"
"Product Group ID","ID skupiny produktů"
"Product Groups","Skupiny produktů"
"Product has been activated.","Produkt byl aktivován."
"Product has been deactivated.","Produkt byl deaktivován."
"Product ID","ID produktu"
"Product Image(s)","Obrázky produktu"
"Product name","Název produktu"
"Product type","Typ produktu"
"Product variants","Produktové varianty"
Quantity,"Množství"
Save,"Uložit"
"Search engine optimization (SEO) is the process of affecting the visibility of a website or a web page in a web search engine's unpaid results — often referred to as ""natural,"" ""organic,"" or ""earned"" results.","Optimalizace pro vyhledávače (SEO) označuje proces, při kterém je ovlivněna viditelnost webové stránky nebo webové prezentace v neplacených výsledcích vyhledávání internetového vyhledávače. Ty se často označují jako ""přirozené"", ""organické"" či ""zasloužené"" výsledky."
"Select attributes and corresponding values.","Vyberte atributy a příslušné hodnoty."
"SEO (Meta Information)","SEO (meta informace)"
Small,"Malé"
Stock,"Zásoba"
"Stock Type","Typ zásob"
"Store relation","Vztah marketu:"
"Stores","Markety"
"Tax Set","Daňové nastavení"
"The product [%s] does not exist.","Produkt [%s] neexistuje."
"The product [%s] was saved successfully.","Produkt [%s] byl úspěšně uložen."
"The product [%s] you are trying to edit, does not exist.","Produkt [%s], který se snažíte upravit, neexistuje."
"There is no super attribute defined. <a href=""%url%"">Define super attributes</a> in order to be able to create variants.","Není definován super atribut. <a href=""%url%"">Definujte super atributy</a>, aby bylo možné založit varianty."
Type,"Typ"
Valid From,"Platné od"
Valid To,"Platné do"
Variants,"Varianty"
"View Product Abstract","Zobrazit abstraktní produkt"
"View Product Concrete","Zobrazit konkrétní produkt"
"View Concrete Product","Zobrazit konkrétní produkt"
