Activate,"Aktivovat"
Active,"Aktivní"
"Add image","Přidat obrázek"
"Add image set","Přidat sadu obrázků"
"Create Product Set","Create Product Set"
Deactivate,"Deaktivovat"
Default,"Standard"
"Delete image","Smazat obrázek"
"Delete image set","Smazat sadu obrázků"
"Deselect All","Všechna označení zrušit"
"Deselected products","Zrušeny výběr produktů"
Edit,"Upravit"
ID,"ID"
"Image Set","Sada obrázků"
"Image Set Name","Název sady obrázků"
Inactive,"Neaktivní"
Keywords,"Klíčová slova"
"Large Image URL","URL velkého obrázku"
"List of Sets","Seznam sad"
Name,"Jméno"
Position,"Pozice"
Preview,"Náhled"
Price,"Cena"
"Product details","Detaily produktu"
"Product Sets","Sady produktů"
"Products in this Set","Produkty v této sadě"
"Products to be assigned","Produkty k přiřazení"
"Products to be deassigned","Produkty ke zrušení přiřazení"
"Reorder Product Sets","Změnit pořadí sad produktů"
Save,"Uložit"
"Select All","Vyberte všechny"
"Select products to assign","Vyberte produkty, které chcete přiřadit"
Selected,"Vybraný"
"Selected products","Vybrané produkty"
SEO,"SEO"
SKU,"SKU"
"Small Image URL","Adresa URL malého obrázku"
Status,"Status"
Submit,"Odeslat"
Title,"Titul"
URL,"Url"
View,"Náhled"
Weight,"Hmotnost"
"Weight defines sorting order. Product Sets with higher numbers listed first.","Weight defines sorting order. Product Sets with higher numbers listed first."
