Product Update,"Aktualizace produktu"
Import data,"Import dat"
Update prices,"Aktualizovat ceny"
Reset,"Resetovat"
product.update.examples.header,"Příklady:"
product.update.header1,"Aktualizovat cenu pro produkt ve všech marketech na stejnou hodnotu:"
product.update.example1_1,"Číslo artiklu;prodejní cena"
product.update.example1_2,"1012;5,00"
product.update.header2,"Aktualizovat cenu pouze v jednom marketu:"
product.update.example2_1,"Číslo artiklu;prodejní cena_041"
product.update.header3,"Nastavte specifickou cenu v jednom marketu, ostatní - jiná hodnota:"
product.update.example3_1,"Číslo artiklu;prodejní cena_041;prodejní cena"
product.update.example3_2,"1012;5.00;6,00"
product.update.message,"Lze použít čárku i tečku na oddělení desetinných míst."
