Product Update,Produkt-Update
Import data,Import data
Update prices,Update prices
Reset,Reset
product.update.examples.header,Examples:
product.update.header1,Update price for product in all stores to the same value:
product.update.example1_1,Item number;Selling price
product.update.example1_2,"1012;5,00"
product.update.header2,Update price only in one store:
product.update.example2_1,Item number;Selling price_041
product.update.header3,Set specific price in one store, others - another value:
product.update.example3_1,Item number;Selling price_041;Selling price
product.update.example3_2,"1012;5.00;6,00"
product.update.message,It's safe to use comma and dot as a decimal separator.
