Sales Documents,"Prodejní dokumenty"
Store Picking List,"Pickovací seznamy"
sales-document.store-picking.html-template.title.picking-list,"Pickovací seznamy"
sales-document.store-picking.html-template.picker-name,"Picker"
sales-document.store-picking.html-template.delivery-date,"Datum dodání"
sales-document.store-picking.html-template.customer-reference,"Zákazník"
sales-document.store-picking.html-template.order-reference,"ID Objednávky"
sales-document.store-picking.html-template.article-number,"Art. č."
sales-document.store-picking.html-template.article-name,"Popis artiklu"
sales-document.store-picking.html-template.article-variety,"Druh"
sales-document.store-picking.html-template.quantity,"Množství"
sales-document.store-picking.html-template.comments,"Poznámka"
sales-document.store-picking.footer.message,"* = Náhradní artikly pro tento druh jsou povoleny."
sales-document.form.print,"Tisk"
sales-document.store-picking.form.title.picking-list,"Pickovací seznamy"
sales-document.store-picking.form.merchant-selector,"Výběr obchodníka"
sales-document.store-picking.form.export-types,"Typ exportu"
sales-document.store-picking.message.no-orders-found,"Žádné objednávky k pickování"
