Hard Threshold,"Minimální částka"
Hard Minimum Threshold,"Minimální částka"
Hard Maximum Threshold,"Maximální částka"
Max Order value,"Maximální částka"
Threshold settings,"Nastavení hraničních hodnot"
Store and Currency,"Region a měna"
Enter threshold value,"Zadat prahovou hodnotu"
Message,"Zpráva"
Enter fixed fee,"Zadejte fixní poplatek"
Enter flexible fee,"Zadejte pohyblivý poplatek"
"You can use the placeholders <code>{{threshold}}</code>.","Můžete použít zástupný symbol <code>{{threshold}}</code>."
"Minimum order value cannot be greater or equal to the maximum order value.","Minimální hodnota objednávky nesmí být větší nebo se rovnat maximální hodnotě objednávky."
"The Global Thresholds is saved successfully.","Globální limity objednávky jsou úspěšně uloženy."
