order.management.management,"Správa objednávky"
order.management.location,"Místo"
order.management.day,"Den"
order.management.selection,"Výběr"
order.management.orderState1,"připraveno k pickování / pickováno / připraveno k vyzvednutí / objednávka fakturována"
order.management.orderState2,"připraveno k pickování / pickováno / napickováno"
order.management.orderState3,"připraveno k pickování / napickováno"
order.management.total,"Celkem"
order.management.slot,"Slot"
order.management.total,"Celkem"
order.management.full.dry,"Suché"
order.management.full.bakery,"Pekárna"
order.management.full.drugstore,"Drogerie"
order.management.full.fish,"Pult s rybami"
order.management.full.fresh,"Čerstvé"
order.management.full.beverages,"Nápoje"
order.management.full.cheese,"Pult se sýry"
order.management.full.butchers,"Řeznictví"
order.management.full.nonfood,"Nonfood"
order.management.full.fruit_vegetables,"Ovoce+Zelenina"
order.management.full.frozen,"Mražené"
order.management.abbr.dry,"SUCH"
order.management.abbr.bakery,"PEK"
order.management.abbr.drugstore,"DROG"
order.management.abbr.fish,"RYB"
order.management.abbr.fresh,"ČER"
order.management.abbr.beverages,"NÁP"
order.management.abbr.cheese,"SÝR"
order.management.abbr.butchers,"ŘEZ"
order.management.abbr.nonfood,"NON"
order.management.abbr.fruit_vegetables,"OVO"
order.management.abbr.frozen,"MRA"
