"Back to Orders","Zpět na Objednávky"
"Back to Reclamatinos","Zpět na Reklamace"
"Can not create reclamation","Reklamaci nelze vytvořit."
"Canceled amount","Stornovaná částka"
"Create connected order","Vytvořit spojenou objednávku"
"Create reclamation","Vytvořit reklamaci"
Created,"Vytvořit"
Discount,"Rabat"
"GRAND TOTAL","Celkový součet"
"Included tax amount","Obsažená částka daně"
"Item total","Položka celkem"
"List of Reclamations","Seznam reklamací"
"No order items provided","Nejsou k dispozici objednané položky"
"No reclamation with given id %s","Žádné reklamace s ID %s"
Option,"Možnost"
Order,"Objednávka"
"Order id","ID objednávky"
"OrderItem with id %s not belong to order %s","Objednaný artikl s ID %s nepatří k objednávce %s."
"Overview of reclamation:","Přehled reklamací:"
"Overview of reclamations","Přehled reklamací"
Product,"Produkt"
"Reclamation id:%s for order %s sucessfully created","ID reklamace %s pro objednávku %s úspěšně vytvořeno."
"Reclamation item refunded","Vráceny peníze za reklamovaný artikl"
"Reclamation item with id %s not exists","Reklamovaný artikl s ID %s neexistuje"
"Reclamation state","Status reklamace"
"Reclamation with id %s closed","Reklamace s ID %s uzavřena"
"Reclamation with id %s not exists","Reklamace s ID %s neexistuje"
"Reclamation with id %s not own this item %s","Reklamace s ID %s neobsahuje artikl %s"
Shipment,"Doprava"
"Show less","Zobrazit méně""
"Show more","Zobrazit více"
Sku,SKU
State,"Status"
"Sub total","Mezisoučet"
Total,"Celkem"
"Unit Price","Jednotková cena"
"Variant Details","Detaily variant"
Customer,"Zákazník"
