global.spryker.shop,Store App
forms.submit.login,Login
Username,User Name
Password,Password
hour,Uhr
back,Back
Filial-App,Store-App
Forgot password?, Forgot password?

storeapp.filiale.region.format,%d - %s
storeapp.filiale.number.format,Filiale - %d

picker.activity.picking,Einzel Picking
picker.activity.collection,Abholung
picker.activity.container-to-shelf,Container Platz
picker.activity.multi-picking,Multi Picking
picker.activity.multi-picking.order.error-1,Die blockierten Bestellungen müssen zuerst entsperrt werden
picker.activity.multi-picking.order.error-2,bevor das Picking begonnen werden kann
picker.picking.order.deadline,Fertigstellung
picker.picking.order.reference,Bestellnummer
picker.picking.order.item-count,Anzahl Produkte
picker.picking.order.status-action,Status/Aktion
picker.picking.order.status.done,Erledigt
picker.picking.order.action,Aktion
picker.picking.order.action.start,Start
picker.picking.order.action.stop,Entsperren


picker.picking.confirmation,Weiter

picker.collect-by-customer.order.collect-interval,Abholfenster
picker.collect-by-customer.order.reference,Bestellnummer
picker.collect-by-customer.order.collect_number,Abholcode
picker.collect-by-customer.order.alcohol-age-check,Ausweiskontrolle
picker.collect-by-customer.order.bags,Tüten
picker.collect-by-customer.order.product-types,Typen
picker.collect-by-customer.order.status-action,Status/Aktion

picker.collect-by-customer.order.confirm-collection,Abholung bestätigen
picker.collect-by-customer.order.open-detail-confirm-collection,Zur Abholung
picker.collect-by-customer.order.collection-details,Wunscheinkauf
picker.collect-by-customer.order.cancel-collection,Stornieren

picker.collect-by-customer.order.status.collected,Bereits abgeholt
picker.collect-by-customer.order.status.cancelled,Storniert

delivery.order.delivery-time,Lieferfenster
delivery.order.reference,Bestellnummer
delivery.order.bags,Tüten
delivery.order.address,Abholzeitfenster
delivery.order.status,Status
delivery.order.status-action,Aktion
delivery.order.action.start,Start
delivery.order.action.start-all,Alle starten
delivery.order.action.confirm,Lieferung bestätigen
delivery.order.action.cancel,Lieferung stornieren

delivery.order.status-delivered,geliefert
delivery.order.status-cancelled,storniert
Cancel,Zurück
products,Produkte
Total bags, Anzahl Tüten
not found, nicht gefunden
Items,Artikel
Piece,Stck.
picked, eingepackt
Confirm, Bestätigen
Confirm your work!, Bestätige deine Arbeit!
bags, Tüte
Picked up!, Abgeholt!
Not picked up!, Nicht abgeholt!
Order %order% has been picked up, Wunscheinkauf %order% wurde abgeholt
Order %order% hasn’t been picked up, Wunscheinkauf %order% wurde nicht abgeholt
Current Delivery, Aktuelle Lieferung
Order Search, Bestellnummer eingeben
Timeslot, Zeitfenster
ambient,Trockensortiment
chilled,Normalkühlung
frozen,Tiefkühlung

picker.collect-by-customer.item.name,Name
picker.collect-by-customer.item.image,Bild

picker.collect-by-customer.details.bags,Tüten
picker.collect-by-customer.details.products,Produkte
picker.collect-by-customer.details.picked-items,Eingepackt
picker.collect-by-customer.details.not-found-items,Nicht gefunden
picker.collect-by-customer.details.frozen,Produkte sind im Gefrierschrank
picker.collect-by-customer.details.chilled,Produkte sind im Kühlschrank
picker.collect-by-customer.details.containers,Container

delivery.at,bei
delivery.confirm,Bestätigen
delivery.delivered,Geliefert
delivery.not.delivered,Nicht zugestellt
delivery.selected,ausgewählt
delivery.orders.amount,Aufträge (length)
back.to.delivery,Zurück zur aktuellen Lieferung
delivery.delivered.orders.amount,Geliefert (length)
delivery.not.delivered.orders.amount,Nicht Geliefert (length)
delivery.was.not.delivered,Wunscheinkauf wurde NICHT geliefert
delivery.has.delivered,Wunscheinkauf wurde geliefert!
delivery.order.not.delivered.message,Bestellnummer: number wurde nicht geliefert an:
delivery.order.delivered.message,Bestellnummer: number wurde geliefert an:
delivery.order.finish,Fertig
app.offline.title,Sie sind jetzt im Offline-Modus
app.offline.content,"Verlassen Sie die aktuelle Seite nicht, bis Sie wieder eine Verbindung zum Internet haben. Wenn Sie zu einer anderen Seite navigieren, geht Ihr Fortschritt verloren"
Collect Number,Abholcode
started-by,Gestartet von
error_page.title,Fehler
error_page.home_link,Zur Startseite
message.submit_link,Ok!
error_page.text,Diese Seite existiert leider nicht. Bitte überprüfe den Link. Zur Startseite geht es %link%.

storeapp.picking.message.info.no-orders-to-pick,Keine Bestellungen zu kommissionieren
storeapp.picking.message.info.order-will-be-moved-to-next-stage,Der Wunscheinkauf wurde in den nächsten Schritt überführt
storeapp.picking.message.error.order-is-already-being-processed,Wunscheinkauf wird bereits bearbeitet
storeapp.picking.message.error.order-is-being-processed,Die Bestellungen sind bereits in Bearbeitung

storeapp.collect-by-customer.message.info.no-orders-to-collect,Keine Bestellungen zu abholen

storeapp.delivery.message.info.no-orders-to-deliver,Keine Bestellungen zu liefern
storeapp.delivery.message.info.no-orders-selected-for-delivery,Es sind keine Bestellungen zur Lieferung ausgewählt

global.permission.failed,Diese Aktion ist nicht erlaubt

storeapp.picking.message.error.order-is-fully-cancelled,Der Wunscheinkauf wurde storniert
storeapp.picking.message.success.order-has-been-picked,Die Kommissionierung der Wunscheinkauf ist abgeschlossen
storeapp.picking.message.success.container-to-shelf,Der Behälter ist an das Regal gebunden
storeapp.picking.message.error.container-without-order,Container ohne Bestellung
storeapp.form.container-to-shelf,Stellen Sie den Behälter auf das Regal.
collected,Abgeholt
not collected, Nicht abgeholt
storeapp.form.container-assign,Lagerplatz zuweisen
storeapp.form.new-container-assign,Neuen Lagerplatz zuwiesen?

storeapp.delivery.message.info.not-all-selected-orders-were-processed,Nicht alle ausgewählten Bestellungen konnten gestartet werden
of,von
storeapp.login.access.denied,"Lieber Benutzer, Ihr Benutzerkonto scheint keine Filiale zugewiesen zu haben. Bitte kontaktieren Sie die Shop-Administration."

customer.comment, Kundenkommentar
customer.address.floor.ug,UG
customer.address.floor.eg,EG
customer.address.floor.1,1. OG
customer.address.floor.2,2. OG
customer.address.floor.3,3. OG
customer.address.floor.4,4. OG
customer.address.floor.5,5. OG
customer.address.floor.6,6. OG
customer.address.floor.7,7. OG
